meta_prompt,n1,obj1,obj2,chatgpt_out,synthetic_prompt
"one sentence of 3 words about train, the 3 words should be between double quotes.",3,,,"""choo choo train!""","a sign written on it ""choo choo train!"""
"one sentence of 1 words about baseball bat, the 1 words should be between double quotes.",1,,,"""smash!""","a sign written on it ""smash!"""
"one sentence of 1 words about car, the 1 words should be between double quotes.",1,,,"""wheels!""","a sign written on it ""wheels!"""
"one sentence of 3 words about frisbee, the 3 words should be between double quotes.",3,,,"""fun outdoor sport""","a sign written on it ""fun outdoor sport"""
"one sentence of 2 words about bottle, the 2 words should be between double quotes.",2,,,"""empty bottle"".","a sign written on it ""empty bottle""."
"one sentence of 1 words about scissors, the 1 words should be between double quotes.",1,,,"""snip!""","a sign written on it ""snip!"""
"one sentence of 3 words about bear, the 3 words should be between double quotes.",3,,,"""bear is cuddly.""","a sign written on it ""bear is cuddly."""
"one sentence of 1 words about sheep, the 1 words should be between double quotes.",1,,,"""baa!""","a sign written on it ""baa!"""
"one sentence of 2 words about sports ball, the 2 words should be between double quotes.",2,,,"""sports ball""","a sign written on it ""sports ball"""
"one sentence of 3 words about stop sign, the 3 words should be between double quotes.",3,,,"""stop on demand.""","a sign written on it ""stop on demand."""
"one sentence of 1 words about clock, the 1 words should be between double quotes.",1,,,"""tick-tock.""","a sign written on it ""tick-tock."""
"one sentence of 2 words about bottle, the 2 words should be between double quotes.",2,,,"""empty bottle""","a sign written on it ""empty bottle"""
"one sentence of 3 words about tennis racket, the 3 words should be between double quotes.",3,,,"""hit the ball!""","a sign written on it ""hit the ball!"""
"one sentence of 2 words about book, the 2 words should be between double quotes.",2,,,"""engaging read""","a sign written on it ""engaging read"""
"one sentence of 1 words about snowboard, the 1 words should be between double quotes.",1,,,"""snowboarding!""","a sign written on it ""snowboarding!"""
"one sentence of 1 words about knife, the 1 words should be between double quotes.",1,,,"""sharp!""","a sign written on it ""sharp!"""
"one sentence of 1 words about laptop, the 1 words should be between double quotes.",1,,,"""laptops""","a sign written on it ""laptops"""
"one sentence of 1 words about carrot, the 1 words should be between double quotes.",1,,,"""crunchy!""","a sign written on it ""crunchy!"""
"one sentence of 1 words about wine glass, the 1 words should be between double quotes.",1,,,"""elegant.""","a sign written on it ""elegant."""
"one sentence of 2 words about laptop, the 2 words should be between double quotes.",2,,,"""portable computing""","a sign written on it ""portable computing"""
"one sentence of 1 words about elephant, the 1 words should be between double quotes.",1,,,"""trunkful!""","a sign written on it ""trunkful!"""
"one sentence of 2 words about tie, the 2 words should be between double quotes.",2,,,"""tie knots"".","a sign written on it ""tie knots""."
"one sentence of 3 words about bowl, the 3 words should be between double quotes.",3,,,"""rolling down lanes.""","a sign written on it ""rolling down lanes."""
"one sentence of 3 words about truck, the 3 words should be between double quotes.",3,,,"""trucking is fun.""","a sign written on it ""trucking is fun."""
"one sentence of 3 words about toaster, the 3 words should be between double quotes.",3,,,"""toast is delicious.""","a sign written on it ""toast is delicious."""
"one sentence of 3 words about teddy bear, the 3 words should be between double quotes.",3,,,"""cuddly, soft, loveable""","a sign written on it ""cuddly, soft, loveable"""
"one sentence of 3 words about knife, the 3 words should be between double quotes.",3,,,"""sharp, dangerous, tool""","a sign written on it ""sharp, dangerous, tool"""
"one sentence of 3 words about baseball glove, the 3 words should be between double quotes.",3,,,"""soft, protective, essential""","a sign written on it ""soft, protective, essential"""
"one sentence of 1 words about horse, the 1 words should be between double quotes.",1,,,"""gallop!""","a sign written on it ""gallop!"""
"one sentence of 3 words about skis, the 3 words should be between double quotes.",3,,,"""skiing is fun!""","a sign written on it ""skiing is fun!"""
"one sentence of 1 words about fire hydrant, the 1 words should be between double quotes.",1,,,"""splash!""","a sign written on it ""splash!"""
"one sentence of 1 words about sandwich, the 1 words should be between double quotes.",1,,,"""yum!""","a sign written on it ""yum!"""
"one sentence of 2 words about bear, the 2 words should be between double quotes.",2,,,"""grizzly bear""","a sign written on it ""grizzly bear"""
"one sentence of 3 words about tie, the 3 words should be between double quotes.",3,,,"""tie is stylish.""","a sign written on it ""tie is stylish."""
"one sentence of 1 words about potted plant, the 1 words should be between double quotes.",1,,,"""green!""","a sign written on it ""green!"""
"one sentence of 3 words about truck, the 3 words should be between double quotes.",3,,,"""trucks are loud.""","a sign written on it ""trucks are loud."""
"one sentence of 1 words about dining table, the 1 words should be between double quotes.",1,,,"""elegant.""","a sign written on it ""elegant."""
"one sentence of 2 words about parking meter, the 2 words should be between double quotes.",2,,,"""pay attention.""","a sign written on it ""pay attention."""
"one sentence of 3 words about bed, the 3 words should be between double quotes.",3,,,"""sleep is blissful.""","a sign written on it ""sleep is blissful."""
"one sentence of 2 words about dog, the 2 words should be between double quotes.",2,,,"""man's bestfriend""","a sign written on it ""man's bestfriend"""
"one sentence of 3 words about traffic light, the 3 words should be between double quotes.",3,,,"""stop, go, caution""","a sign written on it ""stop, go, caution"""
"one sentence of 1 words about hot dog, the 1 words should be between double quotes.",1,,,"""delicious!""","a sign written on it ""delicious!"""
"one sentence of 1 words about zebra, the 1 words should be between double quotes.",1,,,"""stripes!""","a sign written on it ""stripes!"""
"one sentence of 1 words about handbag, the 1 words should be between double quotes.",1,,,"""stylish!""","a sign written on it ""stylish!"""
"one sentence of 1 words about cat, the 1 words should be between double quotes.",1,,,"""meow!""","a sign written on it ""meow!"""
"one sentence of 1 words about cup, the 1 words should be between double quotes.",1,,,"""cup!""","a sign written on it ""cup!"""
"one sentence of 3 words about spoon, the 3 words should be between double quotes.",3,,,"""spoonful of sugar""","a sign written on it ""spoonful of sugar"""
"one sentence of 3 words about bench, the 3 words should be between double quotes.",3,,,"""sitting on bench""","a sign written on it ""sitting on bench"""
"one sentence of 2 words about wine glass, the 2 words should be between double quotes.",2,,,"""elegant accessory""","a sign written on it ""elegant accessory"""
"one sentence of 3 words about stop sign, the 3 words should be between double quotes.",3,,,"""stop on sight.""","a sign written on it ""stop on sight."""
"one sentence of 1 words about spoon, the 1 words should be between double quotes.",1,,,"""spoonful!""","a sign written on it ""spoonful!"""
"one sentence of 3 words about cup, the 3 words should be between double quotes.",3,,,"""a cup of tea""","a sign written on it ""a cup of tea"""
"one sentence of 3 words about backpack, the 3 words should be between double quotes.",3,,,"""carrying convenience item""","a sign written on it ""carrying convenience item"""
"one sentence of 3 words about elephant, the 3 words should be between double quotes.",3,,,"""large, gray, trunk""","a sign written on it ""large, gray, trunk"""
"one sentence of 2 words about parking meter, the 2 words should be between double quotes.",2,,,"""pay meters.""","a sign written on it ""pay meters."""
"one sentence of 2 words about train, the 2 words should be between double quotes.",2,,,"""choo choo!""","a sign written on it ""choo choo!"""
"one sentence of 3 words about cake, the 3 words should be between double quotes.",3,,,"""cake is delicious""","a sign written on it ""cake is delicious"""
"one sentence of 1 words about surfboard, the 1 words should be between double quotes.",1,,,"""surf's up!""","a sign written on it ""surf's up!"""
"one sentence of 3 words about truck, the 3 words should be between double quotes.",3,,,"""big, loud, truck.""","a sign written on it ""big, loud, truck."""
"one sentence of 3 words about parking meter, the 3 words should be between double quotes.",3,,,"""pay for parking.""","a sign written on it ""pay for parking."""
"one sentence of 1 words about couch, the 1 words should be between double quotes.",1,,,"""couching!""","a sign written on it ""couching!"""
"one sentence of 3 words about giraffe, the 3 words should be between double quotes.",3,,,"""tall, spotted, graceful.""","a sign written on it ""tall, spotted, graceful."""
"one sentence of 3 words about traffic light, the 3 words should be between double quotes.",3,,,"""stop, go, wait""","a sign written on it ""stop, go, wait"""
"one sentence of 3 words about hair drier, the 3 words should be between double quotes.",3,,,"""hot air blowing.""","a sign written on it ""hot air blowing."""
"one sentence of 2 words about frisbee, the 2 words should be between double quotes.",2,,,"""disc sport""","a sign written on it ""disc sport"""
"one sentence of 1 words about fork, the 1 words should be between double quotes.",1,,,"""forking""","a sign written on it ""forking"""
"one sentence of 2 words about handbag, the 2 words should be between double quotes.",2,,,"""stylish accessory""","a sign written on it ""stylish accessory"""
"one sentence of 3 words about kite, the 3 words should be between double quotes.",3,,,"""fly high kite!""","a sign written on it ""fly high kite!"""
"one sentence of 3 words about backpack, the 3 words should be between double quotes.",3,,,"""carrying convenience item""","a sign written on it ""carrying convenience item"""
"one sentence of 3 words about umbrella, the 3 words should be between double quotes.",3,,,"""protection from rain.""","a sign written on it ""protection from rain."""
"one sentence of 3 words about sports ball, the 3 words should be between double quotes.",3,,,"""kick the ball.""","a sign written on it ""kick the ball."""
"one sentence of 3 words about skis, the 3 words should be between double quotes.",3,,,"""skiing is fun!""","a sign written on it ""skiing is fun!"""
"one sentence of 3 words about bus, the 3 words should be between double quotes.",3,,,"""bus is convenient.""","a sign written on it ""bus is convenient."""
"one sentence of 1 words about apple, the 1 words should be between double quotes.",1,,,"""delicious!""","a sign written on it ""delicious!"""
"one sentence of 1 words about hot dog, the 1 words should be between double quotes.",1,,,"""delicious!""","a sign written on it ""delicious!"""
"one sentence of 2 words about knife, the 2 words should be between double quotes.",2,,,"""sharp knife""","a sign written on it ""sharp knife"""
"one sentence of 1 words about traffic light, the 1 words should be between double quotes.",1,,,"""go!""","a sign written on it ""go!"""
"one sentence of 2 words about backpack, the 2 words should be between double quotes.",2,,,"""carrying convenience""","a sign written on it ""carrying convenience"""
"one sentence of 3 words about carrot, the 3 words should be between double quotes.",3,,,"""carrot is orange.""","a sign written on it ""carrot is orange."""
"one sentence of 1 words about dining table, the 1 words should be between double quotes.",1,,,"""elegant.""","a sign written on it ""elegant."""
"one sentence of 2 words about snowboard, the 2 words should be between double quotes.",2,,,"""winter sport""","a sign written on it ""winter sport"""
"one sentence of 3 words about sheep, the 3 words should be between double quotes.",3,,,"""sheep are woolly.""","a sign written on it ""sheep are woolly."""
"one sentence of 2 words about handbag, the 2 words should be between double quotes.",2,,,"""stylish accessory""","a sign written on it ""stylish accessory"""
"one sentence of 1 words about cake, the 1 words should be between double quotes.",1,,,"""yummy!""","a sign written on it ""yummy!"""
"one sentence of 3 words about horse, the 3 words should be between double quotes.",3,,,"""ride a horse.""","a sign written on it ""ride a horse."""
"one sentence of 1 words about cup, the 1 words should be between double quotes.",1,,,"""cup""","a sign written on it ""cup"""
"one sentence of 2 words about cake, the 2 words should be between double quotes.",2,,,"""tastes delicious""","a sign written on it ""tastes delicious"""
"one sentence of 1 words about baseball glove, the 1 words should be between double quotes.",1,,,"""glovely!""","a sign written on it ""glovely!"""
"one sentence of 1 words about sheep, the 1 words should be between double quotes.",1,,,"""baa!""","a sign written on it ""baa!"""
"one sentence of 1 words about sheep, the 1 words should be between double quotes.",1,,,"""bleat!""","a sign written on it ""bleat!"""
"one sentence of 2 words about zebra, the 2 words should be between double quotes.",2,,,"""striped mammal""","a sign written on it ""striped mammal"""
"one sentence of 3 words about dog, the 3 words should be between double quotes.",3,,,"""dogs are loyal.""","a sign written on it ""dogs are loyal."""
"one sentence of 3 words about pizza, the 3 words should be between double quotes.",3,,,"""pizza is delicious.""","a sign written on it ""pizza is delicious."""
"one sentence of 1 words about airplane, the 1 words should be between double quotes.",1,,,"""fly!""","a sign written on it ""fly!"""
"one sentence of 3 words about cat, the 3 words should be between double quotes.",3,,,"""cats are cute.""","a sign written on it ""cats are cute."""
"one sentence of 1 words about clock, the 1 words should be between double quotes.",1,,,"""tick-tock!""","a sign written on it ""tick-tock!"""
"one sentence of 3 words about horse, the 3 words should be between double quotes.",3,,,"""horse is majestic""","a sign written on it ""horse is majestic"""
"one sentence of 2 words about boat, the 2 words should be between double quotes.",2,,,"""sailing fun""","a sign written on it ""sailing fun"""
"one sentence of 3 words about laptop, the 3 words should be between double quotes.",3,,,"""portable computing power""","a sign written on it ""portable computing power"""
"one sentence of 3 words about traffic light, the 3 words should be between double quotes.",3,,,"""stop, go, caution.""","a sign written on it ""stop, go, caution."""
"one sentence of 3 words about bus, the 3 words should be between double quotes.",3,,,"""bus is convenient.""","a sign written on it ""bus is convenient."""
"one sentence of 3 words about dining table, the 3 words should be between double quotes.",3,,,"""elegant dining centerpiece""","a sign written on it ""elegant dining centerpiece"""
"one sentence of 3 words about bicycle, the 3 words should be between double quotes.",3,,,"""ride a bicycle""","a sign written on it ""ride a bicycle"""
"one sentence of 2 words about clock, the 2 words should be between double quotes.",2,,,"""ticking time""","a sign written on it ""ticking time"""
"one sentence of 2 words about sports ball, the 2 words should be between double quotes.",2,,,"""sports ball""","a sign written on it ""sports ball"""
"one sentence of 3 words about toilet, the 3 words should be between double quotes.",3,,,"""toilet hygiene matters.""","a sign written on it ""toilet hygiene matters."""
"one sentence of 1 words about banana, the 1 words should be between double quotes.",1,,,"""banana!""","a sign written on it ""banana!"""
"one sentence of 1 words about backpack, the 1 words should be between double quotes.",1,,,"""backpack!""","a sign written on it ""backpack!"""
"one sentence of 3 words about elephant, the 3 words should be between double quotes.",3,,,"""big, grey, trunk""","a sign written on it ""big, grey, trunk"""
"one sentence of 3 words about person, the 3 words should be between double quotes.",3,,,"""smart, kind, generous""","a sign written on it ""smart, kind, generous"""
"one sentence of 2 words about tv, the 2 words should be between double quotes.",2,,,"""tv entertainment""","a sign written on it ""tv entertainment"""
"one sentence of 2 words about baseball bat, the 2 words should be between double quotes.",2,,,"""wooden bat""","a sign written on it ""wooden bat"""
"one sentence of 2 words about horse, the 2 words should be between double quotes.",2,,,"""noble steed"".","a sign written on it ""noble steed""."
"one sentence of 1 words about dog, the 1 words should be between double quotes.",1,,,"""woof!""","a sign written on it ""woof!"""
"one sentence of 3 words about umbrella, the 3 words should be between double quotes.",3,,,"""umbrella is useful.""","a sign written on it ""umbrella is useful."""
"one sentence of 1 words about frisbee, the 1 words should be between double quotes.",1,,,"""frisbeeing!""","a sign written on it ""frisbeeing!"""
"one sentence of 1 words about baseball glove, the 1 words should be between double quotes.",1,,,"""glovely!""","a sign written on it ""glovely!"""
"one sentence of 1 words about tie, the 1 words should be between double quotes.",1,,,"""tieing!""","a sign written on it ""tieing!"""
"one sentence of 3 words about mouse, the 3 words should be between double quotes.",3,,,"""small, furry mammal""","a sign written on it ""small, furry mammal"""
"one sentence of 2 words about suitcase, the 2 words should be between double quotes.",2,,,"""traveling essential""","a sign written on it ""traveling essential"""
"one sentence of 1 words about vase, the 1 words should be between double quotes.",1,,,"""beautiful.""","a sign written on it ""beautiful."""
"one sentence of 1 words about apple, the 1 words should be between double quotes.",1,,,"""delicious!""","a sign written on it ""delicious!"""
"one sentence of 3 words about kite, the 3 words should be between double quotes.",3,,,"""fly a kite!""","a sign written on it ""fly a kite!"""
"one sentence of 3 words about kite, the 3 words should be between double quotes.",3,,,"""fly a kite!""","a sign written on it ""fly a kite!"""
"one sentence of 1 words about orange, the 1 words should be between double quotes.",1,,,"""orange""","a sign written on it ""orange"""
"one sentence of 2 words about orange, the 2 words should be between double quotes.",2,,,"""orange hue""","a sign written on it ""orange hue"""
"one sentence of 1 words about hot dog, the 1 words should be between double quotes.",1,,,"""yum!""","a sign written on it ""yum!"""
"one sentence of 2 words about scissors, the 2 words should be between double quotes.",2,,,"""sharp edges.""","a sign written on it ""sharp edges."""
"one sentence of 1 words about toilet, the 1 words should be between double quotes.",1,,,"""flush!""","a sign written on it ""flush!"""
"one sentence of 1 words about surfboard, the 1 words should be between double quotes.",1,,,"""surf's up!""","a sign written on it ""surf's up!"""
"one sentence of 1 words about carrot, the 1 words should be between double quotes.",1,,,"""crunchy!""","a sign written on it ""crunchy!"""
"one sentence of 1 words about snowboard, the 1 words should be between double quotes.",1,,,"""shredding!""","a sign written on it ""shredding!"""
"one sentence of 2 words about sandwich, the 2 words should be between double quotes.",2,,,"""tasty sandwich""","a sign written on it ""tasty sandwich"""
"one sentence of 3 words about motorcycle, the 3 words should be between double quotes.",3,,,"""ride a motorcycle""","a sign written on it ""ride a motorcycle"""
"one sentence of 2 words about backpack, the 2 words should be between double quotes.",2,,,"""carrying capacity""","a sign written on it ""carrying capacity"""
"one sentence of 3 words about bed, the 3 words should be between double quotes.",3,,,"""sleep is bliss.""","a sign written on it ""sleep is bliss."""
"one sentence of 2 words about giraffe, the 2 words should be between double quotes.",2,,,"""tall necks""","a sign written on it ""tall necks"""
"one sentence of 2 words about bus, the 2 words should be between double quotes.",2,,,"""public transportation""","a sign written on it ""public transportation"""
"one sentence of 1 words about airplane, the 1 words should be between double quotes.",1,,,"""fly!""","a sign written on it ""fly!"""
"one sentence of 2 words about car, the 2 words should be between double quotes.",2,,,"""fast cars""","a sign written on it ""fast cars"""
"one sentence of 1 words about spoon, the 1 words should be between double quotes.",1,,,"""spoonful!""","a sign written on it ""spoonful!"""
"one sentence of 2 words about motorcycle, the 2 words should be between double quotes.",2,,,"""fast fun""","a sign written on it ""fast fun"""
"one sentence of 1 words about cell phone, the 1 words should be between double quotes.",1,,,"""wireless.""","a sign written on it ""wireless."""
"one sentence of 1 words about train, the 1 words should be between double quotes.",1,,,"""choo-choo!""","a sign written on it ""choo-choo!"""
"one sentence of 3 words about snowboard, the 3 words should be between double quotes.",3,,,"""snowboarding is fun!""","a sign written on it ""snowboarding is fun!"""
"one sentence of 2 words about bench, the 2 words should be between double quotes.",2,,,"""sitting bench""","a sign written on it ""sitting bench"""
"one sentence of 2 words about spoon, the 2 words should be between double quotes.",2,,,"""spoon feeding""","a sign written on it ""spoon feeding"""
"one sentence of 2 words about horse, the 2 words should be between double quotes.",2,,,"""wild horses""","a sign written on it ""wild horses"""
"one sentence of 2 words about cake, the 2 words should be between double quotes.",2,,,"""tastes delicious""","a sign written on it ""tastes delicious"""
"one sentence of 3 words about apple, the 3 words should be between double quotes.",3,,,"""tasty, crunchy, apple.""","a sign written on it ""tasty, crunchy, apple."""
"one sentence of 1 words about person, the 1 words should be between double quotes.",1,,,"""joyful!""","a sign written on it ""joyful!"""
"one sentence of 2 words about airplane, the 2 words should be between double quotes.",2,,,"""flying machine""","a sign written on it ""flying machine"""
"one sentence of 3 words about snowboard, the 3 words should be between double quotes.",3,,,"""snowboarding is fun!""","a sign written on it ""snowboarding is fun!"""
"one sentence of 1 words about tv, the 1 words should be between double quotes.",1,,,"""entertaining!""","a sign written on it ""entertaining!"""
"one sentence of 1 words about wine glass, the 1 words should be between double quotes.",1,,,"""elegant.""","a sign written on it ""elegant."""
"one sentence of 2 words about fire hydrant, the 2 words should be between double quotes.",2,,,"""fire hydrant""","a sign written on it ""fire hydrant"""
"one sentence of 1 words about handbag, the 1 words should be between double quotes.",1,,,"""stylish!""","a sign written on it ""stylish!"""
"one sentence of 1 words about umbrella, the 1 words should be between double quotes.",1,,,"""umbrella!""","a sign written on it ""umbrella!"""
"one sentence of 3 words about parking meter, the 3 words should be between double quotes.",3,,,"""pay or ticket.""","a sign written on it ""pay or ticket."""
"one sentence of 3 words about microwave, the 3 words should be between double quotes.",3,,,"""heat with microwaves.""","a sign written on it ""heat with microwaves."""
"one sentence of 3 words about elephant, the 3 words should be between double quotes.",3,,,"""big, gray, trunk.""","a sign written on it ""big, gray, trunk."""
"one sentence of 3 words about toilet, the 3 words should be between double quotes.",3,,,"""toilet hygiene matters.""","a sign written on it ""toilet hygiene matters."""
"one sentence of 1 words about donut, the 1 words should be between double quotes.",1,,,"""delicious!""","a sign written on it ""delicious!"""
"one sentence of 1 words about suitcase, the 1 words should be between double quotes.",1,,,"""luggage!""","a sign written on it ""luggage!"""
"one sentence of 2 words about bench, the 2 words should be between double quotes.",2,,,"""sitting bench""","a sign written on it ""sitting bench"""
"one sentence of 3 words about backpack, the 3 words should be between double quotes.",3,,,"""carrying life's essentials.""","a sign written on it ""carrying life's essentials."""
"one sentence of 1 words about sink, the 1 words should be between double quotes.",1,,,"""plunging!""","a sign written on it ""plunging!"""
"one sentence of 3 words about elephant, the 3 words should be between double quotes.",3,,,"""large, gray, trunk""","a sign written on it ""large, gray, trunk"""
"one sentence of 2 words about handbag, the 2 words should be between double quotes.",2,,,"""carry accessory""","a sign written on it ""carry accessory"""
"one sentence of 1 words about bench, the 1 words should be between double quotes.",1,,,"""bench""","a sign written on it ""bench"""
"one sentence of 1 words about teddy bear, the 1 words should be between double quotes.",1,,,"""cuddly!""","a sign written on it ""cuddly!"""
"one sentence of 1 words about handbag, the 1 words should be between double quotes.",1,,,"""glamorous!""","a sign written on it ""glamorous!"""
"one sentence of 2 words about bird, the 2 words should be between double quotes.",2,,,"""chirping birds""","a sign written on it ""chirping birds"""
"one sentence of 2 words about horse, the 2 words should be between double quotes.",2,,,"""noble steed""","a sign written on it ""noble steed"""
"one sentence of 2 words about airplane, the 2 words should be between double quotes.",2,,,"""flying machine""","a sign written on it ""flying machine"""
"one sentence of 1 words about kite, the 1 words should be between double quotes.",1,,,"""fly!""","a sign written on it ""fly!"""
"one sentence of 1 words about bicycle, the 1 words should be between double quotes.",1,,,"""cycling!""","a sign written on it ""cycling!"""
"one sentence of 3 words about cell phone, the 3 words should be between double quotes.",3,,,"""cell phones ubiquitous.""","a sign written on it ""cell phones ubiquitous."""
"one sentence of 2 words about bed, the 2 words should be between double quotes.",2,,,"""sleep comfy""","a sign written on it ""sleep comfy"""
"one sentence of 2 words about zebra, the 2 words should be between double quotes.",2,,,"""striped animal""","a sign written on it ""striped animal"""
"one sentence of 2 words about banana, the 2 words should be between double quotes.",2,,,"""yellow fruit""","a sign written on it ""yellow fruit"""
"one sentence of 3 words about dining table, the 3 words should be between double quotes.",3,,,"""elegant dining space.""","a sign written on it ""elegant dining space."""
"one sentence of 3 words about knife, the 3 words should be between double quotes.",3,,,"""sharp, dangerous, essential""","a sign written on it ""sharp, dangerous, essential"""
"one sentence of 1 words about orange, the 1 words should be between double quotes.",1,,,"""orange""","a sign written on it ""orange"""
"one sentence of 1 words about bowl, the 1 words should be between double quotes.",1,,,"""bowls""","a sign written on it ""bowls"""
"one sentence of 2 words about surfboard, the 2 words should be between double quotes.",2,,,"""surf's up!""","a sign written on it ""surf's up!"""
"one sentence of 2 words about oven, the 2 words should be between double quotes.",2,,,"""hot food""","a sign written on it ""hot food"""
"one sentence of 2 words about snowboard, the 2 words should be between double quotes.",2,,,"""extreme sport""","a sign written on it ""extreme sport"""
"one sentence of 2 words about hot dog, the 2 words should be between double quotes.",2,,,"""tasty treat""","a sign written on it ""tasty treat"""
"one sentence of 2 words about train, the 2 words should be between double quotes.",2,,,"""choo choo!""","a sign written on it ""choo choo!"""
"one sentence of 1 words about airplane, the 1 words should be between double quotes.",1,,,"""fly!""","a sign written on it ""fly!"""
"one sentence of 3 words about dog, the 3 words should be between double quotes.",3,,,"""dogs are loyal"".","a sign written on it ""dogs are loyal""."
"one sentence of 2 words about cake, the 2 words should be between double quotes.",2,,,"""tastes delicious""","a sign written on it ""tastes delicious"""
"one sentence of 2 words about giraffe, the 2 words should be between double quotes.",2,,,"""tall necks""","a sign written on it ""tall necks"""
"one sentence of 3 words about baseball glove, the 3 words should be between double quotes.",3,,,"""grip it tight!""","a sign written on it ""grip it tight!"""
"one sentence of 1 words about stop sign, the 1 words should be between double quotes.",1,,,"""stop!""","a sign written on it ""stop!"""
"one sentence of 1 words about stop sign, the 1 words should be between double quotes.",1,,,"""stop!""","a sign written on it ""stop!"""
"one sentence of 2 words about orange, the 2 words should be between double quotes.",2,,,"""orange zest""","a sign written on it ""orange zest"""
"one sentence of 1 words about cake, the 1 words should be between double quotes.",1,,,"""yum!""","a sign written on it ""yum!"""
"one sentence of 2 words about bear, the 2 words should be between double quotes.",2,,,"""grizzly fur.""","a sign written on it ""grizzly fur."""
"one sentence of 1 words about chair, the 1 words should be between double quotes.",1,,,"""sitting!""","a sign written on it ""sitting!"""
"one sentence of 1 words about remote, the 1 words should be between double quotes.",1,,,"""remote""","a sign written on it ""remote"""
"one sentence of 3 words about refrigerator, the 3 words should be between double quotes.",3,,,"""cold food storage.""","a sign written on it ""cold food storage."""
"one sentence of 2 words about surfboard, the 2 words should be between double quotes.",2,,,"""surf's up!""","a sign written on it ""surf's up!"""
"one sentence of 1 words about keyboard, the 1 words should be between double quotes.",1,,,"""typing!""","a sign written on it ""typing!"""
"one sentence of 1 words about banana, the 1 words should be between double quotes.",1,,,"""tasty!""","a sign written on it ""tasty!"""
"one sentence of 2 words about carrot, the 2 words should be between double quotes.",2,,,"""orange vegetable""","a sign written on it ""orange vegetable"""
"one sentence of 3 words about tv, the 3 words should be between double quotes.",3,,,"""tv is great""","a sign written on it ""tv is great"""
"one sentence of 3 words about remote, the 3 words should be between double quotes.",3,,,"""remote work rocks!""","a sign written on it ""remote work rocks!"""
"one sentence of 2 words about tv, the 2 words should be between double quotes.",2,,,"""watching tv""","a sign written on it ""watching tv"""
"one sentence of 2 words about spoon, the 2 words should be between double quotes.",2,,,"""spoon feeding""","a sign written on it ""spoon feeding"""
"one sentence of 2 words about sheep, the 2 words should be between double quotes.",2,,,"""flock animals""","a sign written on it ""flock animals"""
"one sentence of 3 words about train, the 3 words should be between double quotes.",3,,,"""choo choo train!""","a sign written on it ""choo choo train!"""
"one sentence of 1 words about stop sign, the 1 words should be between double quotes.",1,,,"""stop!""","a sign written on it ""stop!"""
"one sentence of 1 words about truck, the 1 words should be between double quotes.",1,,,"""trucking!""","a sign written on it ""trucking!"""
"one sentence of 3 words about train, the 3 words should be between double quotes.",3,,,"""train journey begins.""","a sign written on it ""train journey begins."""
"one sentence of 2 words about cow, the 2 words should be between double quotes.",2,,,"""moo moo""","a sign written on it ""moo moo"""
"one sentence of 1 words about carrot, the 1 words should be between double quotes.",1,,,"""crunchy!""","a sign written on it ""crunchy!"""
"one sentence of 1 words about bench, the 1 words should be between double quotes.",1,,,"""bench""","a sign written on it ""bench"""
"one sentence of 3 words about sheep, the 3 words should be between double quotes.",3,,,"""sheep are woolly.""","a sign written on it ""sheep are woolly."""
"one sentence of 2 words about bicycle, the 2 words should be between double quotes.",2,,,"""two wheels.""","a sign written on it ""two wheels."""
"one sentence of 2 words about toilet, the 2 words should be between double quotes.",2,,,"""flush toilet""","a sign written on it ""flush toilet"""
"one sentence of 2 words about cow, the 2 words should be between double quotes.",2,,,"""mooing cow""","a sign written on it ""mooing cow"""
"one sentence of 2 words about car, the 2 words should be between double quotes.",2,,,"""fast driving""","a sign written on it ""fast driving"""
"one sentence of 2 words about bench, the 2 words should be between double quotes.",2,,,"""sitting bench""","a sign written on it ""sitting bench"""
"one sentence of 2 words about sheep, the 2 words should be between double quotes.",2,,,"""woolly mammals""","a sign written on it ""woolly mammals"""
"one sentence of 1 words about apple, the 1 words should be between double quotes.",1,,,"""delicious!""","a sign written on it ""delicious!"""
"one sentence of 3 words about toothbrush, the 3 words should be between double quotes.",3,,,"""clean healthy teeth.""","a sign written on it ""clean healthy teeth."""
"one sentence of 3 words about hair drier, the 3 words should be between double quotes.",3,,,"""hot air blowing""","a sign written on it ""hot air blowing"""
"one sentence of 3 words about remote, the 3 words should be between double quotes.",3,,,"""remote is convenient""","a sign written on it ""remote is convenient"""
"one sentence of 1 words about teddy bear, the 1 words should be between double quotes.",1,,,"""adorable!""","a sign written on it ""adorable!"""
"one sentence of 3 words about truck, the 3 words should be between double quotes.",3,,,"""trucks are loud.""","a sign written on it ""trucks are loud."""
"one sentence of 2 words about vase, the 2 words should be between double quotes.",2,,,"""floral centerpiece""","a sign written on it ""floral centerpiece"""
"one sentence of 3 words about skateboard, the 3 words should be between double quotes.",3,,,"""skateboarding is fun!""","a sign written on it ""skateboarding is fun!"""
"one sentence of 3 words about dining table, the 3 words should be between double quotes.",3,,,"""eating around table""","a sign written on it ""eating around table"""
"one sentence of 2 words about suitcase, the 2 words should be between double quotes.",2,,,"""travel ready""","a sign written on it ""travel ready"""
"one sentence of 3 words about truck, the 3 words should be between double quotes.",3,,,"""trucks are loud.""","a sign written on it ""trucks are loud."""
"one sentence of 2 words about person, the 2 words should be between double quotes.",2,,,"""bright future""","a sign written on it ""bright future"""
