meta_prompt,obj1,obj2,obj3,synthetic_prompt
"In one sentence, Describe a scene about a person and bottle.",bottle,,,"a person is sitting on a beach, watching the sunset while holding a bottle of beer."
"In one sentence, Describe a scene about a person and person.",person,,,"two people are sitting at a cafe, talking and laughing over coffee."
"In one sentence, Describe a scene about a person and dining table.",dining table,,,"a person sits alone at a dining table, looking out the window with a forlorn expression."
"In one sentence, Describe a scene about a person and truck.",truck,,,"a person is driving a large truck down a winding country road, surrounded by rolling hills and green fields."
"In one sentence, Describe a scene about a person and suitcase.",suitcase,,,"a person is standing in an empty train station, holding a suitcase and looking around nervously."
"In one sentence, Describe a scene about a person and dog.",dog,,,"a person is walking their dog through a park on a sunny day, enjoying the fresh air."
"In one sentence, Describe a scene about a person and snowboard.",snowboard,,,"a person is flying down a snowy mountain on a snowboard, the cold winter air whipping through their hair."
"In one sentence, Describe a scene about a person and toaster.",toaster,,,"a person stands in the kitchen, holding a slice of bread in one hand and a toaster in the other, preparing to make a delicious breakfast."
"In one sentence, Describe a scene about a person and sink.",sink,,,"a person is standing in front of a sink, washing their hands in the running water."
"In one sentence, Describe a scene about a person and broccoli.",broccoli,,,"a person is sitting at a kitchen table, happily munching on a steaming plate of freshly cooked broccoli."
"In one sentence, Describe a scene about a person and kite.",kite,,,"a person is standing in a wide open field, with a brightly colored kite soaring high in the sky above them."
"In one sentence, Describe a scene about a person and toaster.",toaster,,,"a person is happily making toast in their kitchen while the toaster hums and spits out warm, golden slices of bread."
"In one sentence, Describe a scene about a person and sandwich.",sandwich,,,"a person is sitting at a table in a cafe, happily eating a freshly made sandwich."
"In one sentence, Describe a scene about a person and laptop.",laptop,,,"a person is sitting at a desk, typing away on their laptop, eyes focused intently on the screen."
"In one sentence, Describe a scene about a person and boat.",boat,,,"a person stands on the bow of a boat, the sun setting behind them and the wind blowing through their hair."
"In one sentence, Describe a scene about a person and sheep.",sheep,,,"a person stands in a meadow surrounded by sheep, watching them graze peacefully in the early morning light."
"In one sentence, Describe a scene about a person and bird.",bird,,,"a person is standing in a meadow, watching a bird soar gracefully through the sky."
"In one sentence, Describe a scene about a person and cat.",cat,,,"a person is sitting on a porch swing, petting a contented-looking gray cat that is curled up in their lap."
"In one sentence, Describe a scene about a person and sheep.",sheep,,,"a person is standing in a field surrounded by white fluffy sheep, basking in the warm sunshine."
"In one sentence, Describe a scene about a person and kite.",kite,,,"a person is running across a grassy field, holding onto a brightly-colored kite as it soars through the air."
"In one sentence, Describe a scene about a person and oven.",oven,,,"a person is standing in front of an oven, eagerly anticipating the delicious smell of the meal they are about to prepare."
"In one sentence, Describe a scene about a person and sports ball.",sports ball,,,"a person is running across a field, kicking a soccer ball into the air."
"In one sentence, Describe a scene about a person and umbrella.",umbrella,,,"a person stands in the rain, holding a red umbrella, the wind blowing the rain around them."
"In one sentence, Describe a scene about a person and remote.",remote,,,"a person is sitting in front of a laptop, typing away on the keyboard as they remotely connect to a colleague's computer."
"In one sentence, Describe a scene about a person and mouse.",mouse,,,"a person is sitting in a chair, looking down at a mouse scurrying around the floor."
"In one sentence, Describe a scene about a person and snowboard.",snowboard,,,"a person is happily snowboarding down a snowy mountain, their joy and excitement evident in the way they move."
"In one sentence, Describe a scene about a person and dining table.",dining table,,,"a person sits alone at a dining table, looking out the window as the sun sets."
"In one sentence, Describe a scene about a person and sink.",sink,,,"a person stands in front of a sink, looking at their reflection in the mirror while washing their hands."
"In one sentence, Describe a scene about a person and sink.",sink,,,"a person stands in a kitchen, looking into a sink filled with soapy water and dishes."
"In one sentence, Describe a scene about a person and scissors.",scissors,,,"a person is sitting at a desk, scissors in hand, carefully cutting out shapes from a piece of paper."
"In one sentence, Describe a scene about a person and snowboard.",snowboard,,,"a person is gliding down a snowy mountain on a snowboard, the wind blowing through their hair and the sun shining brightly."
"In one sentence, Describe a scene about a person and fork.",fork,,,"a person is holding a fork and staring into the distance, deep in thought."
"In one sentence, Describe a scene about a person and toaster.",toaster,,,"a person stands in their kitchen, eagerly watching a toaster pop up with freshly-toasted bread."
"In one sentence, Describe a scene about a person and bear.",bear,,,"a person is standing in a meadow, looking up at a bear that is standing on its hind legs, looking back at them."
"In one sentence, Describe a scene about a person and airplane.",airplane,,,"a person stands on a runway, watching a plane take off into the sky."
"In one sentence, Describe a scene about a person and refrigerator.",refrigerator,,,"a person stands in front of an open refrigerator, surveying its contents."
"In one sentence, Describe a scene about a person and skateboard.",skateboard,,,"a person is skating down a street on a skateboard, enjoying the feeling of the wind in their hair."
"In one sentence, Describe a scene about a person and microwave.",microwave,,,"a person stands in front of a microwave, eagerly watching the food inside spin around as the timer counts down."
"In one sentence, Describe a scene about a person and broccoli.",broccoli,,,"a person is sitting at a kitchen table, happily munching on a bowl of steamed broccoli."
"In one sentence, Describe a scene about a person and microwave.",microwave,,,"a person is standing in front of a microwave, watching the food spin inside as it cooks."
"In one sentence, Describe a scene about a person and bird.",bird,,,"a person is standing in a park, watching a small bird hop around the grass, chirping happily."
"In one sentence, Describe a scene about a person and cell phone.",cell phone,,,"a person is sitting on a park bench, scrolling through their cell phone with a look of concentration on their face."
"In one sentence, Describe a scene about a person and horse.",horse,,,a person is riding a horse through a meadow on a sunny day.
"In one sentence, Describe a scene about persons and wine glass and person.",wine glass,person,,"a group of people are gathered around a table, laughing and clinking wine glasses in celebration."
"In one sentence, Describe a scene about persons and toothbrush and bus.",toothbrush,bus,,a group of people waiting for the bus while brushing their teeth with toothbrushes in their hands.
"In one sentence, Describe a scene about persons and bowl and toaster.",bowl,toaster,,"a group of people are gathered around a kitchen counter, laughing and chatting as they make breakfast in a toaster and bowl."
"In one sentence, Describe a scene about persons and banana and kite.",banana,kite,,"a group of people are gathered in a park, flying kites and eating bananas."
"In one sentence, Describe a scene about persons and stop sign and hair drier.",stop sign,hair drier,,"at the intersection, two people are stopped at the red stop sign, one with a hair drier in their hand."
"In one sentence, Describe a scene about persons and dining table and keyboard.",dining table,keyboard,,"at the dining table, two persons are sitting side-by-side, typing away on their keyboards."
"In one sentence, Describe a scene about persons and cow and fork.",cow,fork,,"a group of people are standing in a field, watching a cow eat hay with a fork in its mouth."
"In one sentence, Describe a scene about persons and giraffe and car.",giraffe,car,,"a group of people are standing around a car, watching a giraffe curiously poking its head inside the window."
"In one sentence, Describe a scene about persons and toilet and elephant.",toilet,elephant,,a chaotic scene of people running in panic as an elephant rampages through a public restroom.
"In one sentence, Describe a scene about persons and book and cup.",book,cup,,"a group of people sitting in a cozy library, reading their books while sipping from their cups of tea."
"In one sentence, Describe a scene about persons and backpack and suitcase.",backpack,suitcase,,"a group of people are standing in an airport terminal, each with a backpack and suitcase in tow, ready to embark on their journey."
"In one sentence, Describe a scene about persons and bed and truck.",bed,truck,,a group of people are loading a truck with beds in a parking lot.
"In one sentence, Describe a scene about persons and banana and car.",banana,car,,"a group of people are standing around a car, each holding a banana, laughing and talking."
"In one sentence, Describe a scene about persons and stop sign and sink.",stop sign,sink,,"at a four-way stop sign, three people are standing around a sink, talking and washing their hands."
"In one sentence, Describe a scene about persons and teddy bear and microwave.",teddy bear,microwave,,"a group of people are gathered around a microwave, watching a teddy bear spinning inside it."
"In one sentence, Describe a scene about persons and spoon and backpack.",spoon,backpack,,"a group of people are gathered around a picnic table, each holding a spoon in one hand and a backpack in the other."
"In one sentence, Describe a scene about persons and dog and snowboard.",dog,snowboard,,"a group of people and a dog are snowboarding down a hill, laughing and having fun."
"In one sentence, Describe a scene about persons and fork and toilet.",fork,toilet,,"a group of people are gathered around a toilet, each of them holding a fork and looking perplexed."
"In one sentence, Describe a scene about persons and laptop and banana.",laptop,banana,,a group of people sitting around a table with a laptop and a banana in the middle.
"In one sentence, Describe a scene about persons and surfboard and sink.",surfboard,sink,,"a group of people are standing around a sink, talking and laughing while holding onto their surfboards."
"In one sentence, Describe a scene about persons and toilet and sports ball.",toilet,sports ball,,"a group of people are gathered in a bathroom, playing catch with a sports ball while using the toilets."
"In one sentence, Describe a scene about persons and dog and sheep.",dog,sheep,,"a group of people are gathered around a dog, herding a flock of sheep in a meadow."
"In one sentence, Describe a scene about persons and bottle and bird.",bottle,bird,,"a group of people stand around a bottle on the ground, watching a small bird perched atop it, chirping happily."
"In one sentence, Describe a scene about persons and refrigerator and mouse.",refrigerator,mouse,,"the scene features three people crowded around a refrigerator, trying to catch a mouse that has scurried inside."
"In one sentence, Describe a scene about persons and cake and cup.",cake,cup,,"at a birthday party, several people are happily gathered around a table with a delicious cake and steaming cups of hot cocoa."
"In one sentence, Describe a scene about persons and remote and person.",remote,person,,"a group of people are gathered in a room, some in person and some joining remotely via video chat, discussing a topic of importance."
"In one sentence, Describe a scene about persons and motorcycle and sandwich.",motorcycle,sandwich,,"a group of people are gathered around a motorcycle, enjoying sandwiches and conversation."
"In one sentence, Describe a scene about persons and tv and book.",tv,book,,"a group of people are gathered around a television, discussing the differences between the book and the movie adaptation."
"In one sentence, Describe a scene about persons and scissors and bird.",scissors,bird,,"a group of people are standing in a circle, each holding a pair of scissors and a bird, eagerly awaiting the start of the competition."
"In one sentence, Describe a scene about persons and car and hot dog.",car,hot dog,,"a group of people are gathered around a car, enjoying hot dogs and conversation."
"In one sentence, Describe a scene about persons and elephant and knife.",elephant,knife,,"a group of people are standing around an elephant, each person holding a knife, ready to cut it."
"In one sentence, Describe a scene about persons and boat and stop sign.",boat,stop sign,,"a group of people are standing on a dock, looking out at a boat in the water, when a stop sign appears in the sky."
"In one sentence, Describe a scene about persons and toaster and bottle.",toaster,bottle,,"a group of people are gathered around a toaster, drinking from bottles and laughing."
"In one sentence, Describe a scene about persons and cake and giraffe.",cake,giraffe,,"a group of people are gathered around a giraffe, eating cake and laughing."
"In one sentence, Describe a scene about persons and elephant and fork.",elephant,fork,,"a group of people are standing around an elephant, each of them holding a fork and looking curiously at the animal."
"In one sentence, Describe a scene about persons and frisbee and traffic light.",frisbee,traffic light,,people are playing frisbee in a park under a bright red traffic light that is changing to green.
"In one sentence, Describe a scene about persons and teddy bear and oven.",teddy bear,oven,,"the scene is of a family gathered around an oven, with each person holding a teddy bear."
"In one sentence, Describe a scene about persons and orange and cat.",orange,cat,,"a group of people are gathered around an orange tabby cat, each taking turns petting it and admiring its vibrant orange fur."
"In one sentence, Describe a scene about persons and elephant and sink.",elephant,sink,,"a group of people are standing around an elephant that is stuck in a deep sink, trying to figure out how to get it out."
"In one sentence, Describe a scene about persons and apple and cup.",apple,cup,,"a group of people are gathered around a table, each with an apple in one hand and a cup in the other."
"In one sentence, Describe a scene about persons and surfboard and bus.",surfboard,bus,,"a group of people with surfboards waiting at a bus stop, ready to go surfing."
"In one sentence, Describe a scene about persons and cow and horse.",cow,horse,,"a group of people standing in a field, surrounded by a horse and a cow, enjoying the peaceful atmosphere."
"In one sentence, Describe a scene about persons and scissors and toaster.",scissors,toaster,,"a group of people are gathered around a kitchen table, each holding a pair of scissors and a toaster, in preparation for a craft project."
"In one sentence, Describe a scene about persons and chair and baseball bat.",chair,baseball bat,,"a group of people are sitting in chairs, holding baseball bats, ready to play a game."
"In one sentence, Describe a scene about persons and bicycle and remote.",bicycle,remote,,"a group of people are riding their bicycles along a winding road in a remote countryside, enjoying the peaceful scenery."
"In one sentence, Describe a scene about persons and laptop and keyboard.",laptop,keyboard,,"a group of people are gathered around a laptop and keyboard, discussing and typing away."
"In one sentence, Describe a scene about persons and handbag and banana.",handbag,banana,,"a group of people standing around a table, each holding a handbag and a banana."
"In one sentence, Describe a scene about persons and toothbrush and kite.",toothbrush,kite,,a group of people are outside flying kites while brushing their teeth with toothbrushes.
"In one sentence, Describe a scene about persons and keyboard and skateboard.",keyboard,skateboard,,a group of people are gathered around a keyboard playing music while skateboarding around the room.
"In one sentence, Describe a scene about persons and toaster and traffic light.",toaster,traffic light,,"a group of people are standing around a toaster, watching a traffic light turn from red to green and back again."
"In one sentence, Describe a scene about persons and cow and skis.",cow,skis,,a group of people skiing around a meadow with a cow happily trotting beside them.
"In one sentence, Describe a scene about persons and handbag and donut.",handbag,donut,,"a group of people are sitting around a table, chatting and laughing, each with a handbag and a donut in hand."
"In one sentence, Describe a scene about persons and toilet and laptop.",toilet,laptop,,"a group of people are gathered around a laptop in a bathroom, discussing something intently."
"In one sentence, Describe a scene about persons and skateboard and person.",skateboard,person,,"a group of people are gathered around a skateboard ramp, cheering on a person as they perform tricks on their skateboard."
"In one sentence, Describe a scene about persons and cake and car.",cake,car,,"a group of people are gathered around a car, eating cake and laughing."
"In one sentence, Describe a scene about persons and toaster and potted plant.",toaster,potted plant,,"a group of people gathered around a toaster and potted plant, chatting and laughing."
"In one sentence, Describe a scene about persons and bench and sports ball.",bench,sports ball,,a group of people are gathered around a bench playing catch with a sports ball.
"In one sentence, Describe a scene about persons and tv and handbag.",tv,handbag,,"a group of people gathered around a television, discussing the merits of different handbag designs."
"In one sentence, Describe a scene about persons and bus and kite.",bus,kite,,"a group of people are gathered around a bus, flying kites in the windy sky."
"In one sentence, Describe a scene about persons and tv and train.",tv,train,,"a group of people are gathered around a television in a train station, watching a show and chatting with each other."
"In one sentence, Describe a scene about persons and apple and stop sign.",apple,stop sign,,"a group of people are standing around an apple at a stop sign, discussing what to do next."
"In one sentence, Describe a scene about persons and sheep and mouse.",sheep,mouse,,"a group of people are gathered around a field, watching a flock of sheep grazing alongside a small mouse, scurrying around their feet."
"In one sentence, Describe a scene about persons and tv and banana.",tv,banana,,"a group of people are gathered around a tv, laughing and eating bananas while watching a funny show."
"In one sentence, Describe a scene about persons and sports ball and microwave.",sports ball,microwave,,"a group of people are gathered around a microwave, throwing a sports ball back and forth while waiting for their food to heat up."
"In one sentence, Describe a scene about persons and parking meter and scissors.",parking meter,scissors,,"a group of people are gathered around a parking meter, each holding a pair of scissors, ready to cut the meter off its post."
"In one sentence, Describe a scene about persons and keyboard and umbrella.",keyboard,umbrella,,"a group of people typing on their keyboards in the rain, sheltered by umbrellas."
"In one sentence, Describe a scene about persons and bicycle and zebra.",bicycle,zebra,,a group of people riding bicycles alongside a zebra in a wide open field.
"In one sentence, Describe a scene about persons and bed and person.",bed,person,,"a group of people are gathered around a bed, talking and laughing as one person lies in it."
"In one sentence, Describe a scene about persons and tie and dog.",tie,dog,,"a small group of people are gathered around a tie-wearing man, laughing and petting a friendly dog that is happily wagging its tail."
"In one sentence, Describe a scene about persons and book and laptop.",book,laptop,,"a group of people are gathered around a table, each with a book in one hand and a laptop in the other."
"In one sentence, Describe a scene about persons and giraffe and bottle.",giraffe,bottle,,"a group of people are gathered around a giraffe, admiring it while holding a bottle of sparkling cider."
"In one sentence, Describe a scene about persons and bowl and sports ball.",bowl,sports ball,,a group of people are playing a game of bowling with a sports ball in a brightly lit alley.
"In one sentence, Describe a scene about persons and bird and potted plant.",bird,potted plant,,"a group of people are gathered around a potted plant, admiring a beautiful bird perched atop it."
"In one sentence, Describe a scene about persons and cat and train.",cat,train,,"a group of people and a cat stand on a platform, watching a train chug slowly by."
"In one sentence, Describe a scene about persons and tennis racket and chair.",tennis racket,chair,,"a group of people are gathered around a tennis court, holding tennis rackets and sitting in chairs, ready to play a match."
"In one sentence, Describe a scene about persons and cell phone and cow.",cell phone,cow,,"a group of people are standing around a cow, each of them talking on their cell phones."
"In one sentence, Describe a scene about persons and bear and refrigerator.",bear,refrigerator,,"a group of people are standing around a bear and a refrigerator, discussing and admiring them."
"In one sentence, Describe a scene about persons and clock and zebra.",clock,zebra,,"a group of people stand in a room, looking at a clock on the wall while a zebra trots around them."
"In one sentence, Describe a scene about persons and suitcase and banana.",suitcase,banana,,"a group of people are standing around a suitcase filled with bananas, laughing and talking."
"In one sentence, Describe a scene about persons and fork and sheep.",fork,sheep,,"a group of people are gathered around a farm, each holding a fork and a sheep."
"In one sentence, Describe a scene about persons and chair and umbrella.",chair,umbrella,,"a group of people are sitting in chairs under umbrellas, enjoying a sunny day."
"In one sentence, Describe a scene about persons and pizza and car.",pizza,car,,"a group of friends are gathered around a car, laughing and eating pizza."
"In one sentence, Describe a scene about persons and sandwich and book.",sandwich,book,,"a group of people sitting around a picnic table, eating sandwiches and discussing a book they are all reading."
"In one sentence, Describe a scene about persons and pizza and car.",pizza,car,,"a group of friends are sitting in a car, eating pizza and laughing together."
"In one sentence, Describe a scene about persons and skis and motorcycle.",skis,motorcycle,,"a group of people riding their skis down a mountain, with a motorcycle following close behind."
"In one sentence, Describe a scene about persons and sheep and sports ball.",sheep,sports ball,,"a group of people playing a game of soccer in a field full of sheep, with a ball made of wool."
"In one sentence, Describe a scene about persons and chair and suitcase.",chair,suitcase,,"a group of people are sitting in chairs around a suitcase, chatting and laughing."
"In one sentence, Describe a scene about persons and cell phone and hair drier.",cell phone,hair drier,,a group of people in a room talking on their cell phones while blow-drying their hair.
"In one sentence, Describe a scene about persons and spoon and keyboard.",spoon,keyboard,,"a group of people are sitting around a table, each holding a spoon and typing on a keyboard."
"In one sentence, Describe a scene about persons and pizza and laptop.",pizza,laptop,,a group of friends are gathered around a laptop eating pizza and laughing.
"In one sentence, Describe a scene about persons and teddy bear and truck.",teddy bear,truck,,"a group of people are gathered around a truck, admiring a teddy bear that is perched atop the hood."
"In one sentence, Describe a scene about persons and toothbrush and surfboard.",toothbrush,surfboard,,"a group of people are standing on a beach, each holding a toothbrush and a surfboard."
"In one sentence, Describe a scene about persons and snowboard and sink.",snowboard,sink,,"a group of people snowboarding down a snowy hill, only to sink into a deep drift of snow at the bottom."
"In one sentence, Describe a scene about persons and elephant and airplane.",elephant,airplane,,a group of people stand in awe of an elephant flying an airplane above them.
"In one sentence, Describe a scene about persons and skateboard and bottle.",skateboard,bottle,,"a group of people are gathered around a skateboard ramp, drinking from bottles and laughing as they take turns trying to do tricks on the skateboard."
"In one sentence, Describe a scene about persons and apple and cell phone.",apple,cell phone,,"a group of people are sitting around a table, each holding an apple and a cell phone."
"In one sentence, Describe a scene about persons and stop sign and sandwich.",stop sign,sandwich,,"at the stop sign, a group of people were gathered around a picnic table sharing a giant sandwich."
"In one sentence, Describe a scene about persons and person and keyboard.",person,keyboard,,"a group of people are gathered around a person typing away on a keyboard, discussing the words appearing on the screen."
"In one sentence, Describe a scene about persons and toaster and baseball glove.",toaster,baseball glove,,"a group of people are gathered around a toaster, cheering as a baseball glove pops out of it."
"In one sentence, Describe a scene about persons and wine glass and stop sign.",wine glass,stop sign,,"a group of people standing around a stop sign, laughing and holding wine glasses."
"In one sentence, Describe a scene about persons and bear and oven.",bear,oven,,"a group of people are gathered around an oven, roasting marshmallows on sticks, while a bear looks on curiously from a few feet away."
"In one sentence, Describe a scene about persons and chair and bowl.",chair,bowl,,"a group of people are sitting around a bowl on chairs, chatting and laughing."
"In one sentence, Describe a scene about persons and mouse and cell phone.",mouse,cell phone,,"a group of people are gathered around a table, with a mouse scurrying around and a cell phone ringing in the background."
"In one sentence, Describe a scene about persons and boat and baseball glove.",boat,baseball glove,,"a group of people are out on a boat, enjoying the sunshine and tossing a baseball glove around."
"In one sentence, Describe a scene about persons and umbrella and bear.",umbrella,bear,,a group of people are huddling together under a shared umbrella while a bear curiously watches them from a distance.
"In one sentence, Describe a scene about persons and sports ball and chair.",sports ball,chair,,persons are playing a sport with a ball and chairs scattered around the area.
"In one sentence, Describe a scene about persons and orange and banana.",orange,banana,,"a group of people are gathered around a table, laughing and enjoying each other's company while peeling and eating oranges and bananas."
"In one sentence, Describe a scene about persons and banana and tennis racket.",banana,tennis racket,,"a group of people are gathered around a tennis court, each holding a banana and a tennis racket."
"In one sentence, Describe a scene about persons and stop sign and car.",stop sign,car,,"at a busy intersection, a car is stopped at a red stop sign while several pedestrians cross the street."
"In one sentence, Describe a scene about persons and cell phone and vase.",cell phone,vase,,"a group of people are gathered around a vase, each holding their cell phones, chatting and laughing."
"In one sentence, Describe a scene about persons and sink and umbrella.",sink,umbrella,,"a group of people huddled around a sink, using umbrellas to protect themselves from the rain."
"In one sentence, Describe a scene about persons and bicycle and toaster.",bicycle,toaster,,"a group of people are gathered around a table, each with a bicycle and a toaster in front of them, discussing the merits of each."
"In one sentence, Describe a scene about persons and fire hydrant and bicycle.",fire hydrant,bicycle,,"a group of people are gathered around a fire hydrant, some of them riding bicycles while others are talking and laughing."
"In one sentence, Describe a scene about persons and carrot and oven.",carrot,oven,,"persons are peeling, cutting, and roasting carrots in an oven to prepare a delicious meal."
"In one sentence, Describe a scene about persons and tie and giraffe.",tie,giraffe,,"a group of people are gathered around a picnic table, each of them wearing a tie and holding a giraffe balloon."
"In one sentence, Describe a scene about persons and sink and bicycle.",sink,bicycle,,"a group of people are gathered around a sink, washing their hands and fixing their bicycles."
"In one sentence, Describe a scene about persons and sheep and bench.",sheep,bench,,"a group of people are sitting on a bench in a meadow, surrounded by grazing sheep."
"In one sentence, Describe a scene about persons and airplane and refrigerator.",airplane,refrigerator,,a group of people standing around an airplane and a refrigerator in a large open area.
"In one sentence, Describe a scene about persons and spoon and horse.",spoon,horse,,"a group of people are gathered around a horse, each holding a spoon and looking curiously at it."
"In one sentence, Describe a scene about persons and pizza and teddy bear.",pizza,teddy bear,,"a group of people are gathered around a pizza, laughing and talking, while a teddy bear sits in the middle watching them."
"In one sentence, Describe a scene about persons and bus and frisbee.",bus,frisbee,,"a group of people are outside on a sunny day, playing with a frisbee while waiting for the bus to arrive."
"In one sentence, Describe a scene about persons and zebra and bird.",zebra,bird,,a group of people are standing in a field surrounded by a flock of birds and a herd of zebras.
"In one sentence, Describe a scene about persons and knife and keyboard.",knife,keyboard,,"a group of people are gathered around a table with a knife, a keyboard, and intense expressions on their faces."
"In one sentence, Describe a scene about persons and train and pizza.",train,pizza,,a group of friends are sitting together on a train eating pizza and chatting.
"In one sentence, Describe a scene about persons and baseball glove and kite.",baseball glove,kite,,"a group of people are playing catch with a baseball glove in a park, while a child is running around with a colorful kite flying behind them."
"In one sentence, Describe a scene about persons and elephant and dog.",elephant,dog,,"a group of people are standing in a circle around an elephant and a dog, watching them interact."
"In one sentence, Describe a scene about persons and cell phone and umbrella.",cell phone,umbrella,,"people standing outside in the rain, talking on their cell phones while holding umbrellas."
"In one sentence, Describe a scene about persons and train and orange.",train,orange,,"a group of people stand on a train platform, admiring the beautiful orange sunset as the train passes by."
"In one sentence, Describe a scene about persons and tennis racket and baseball glove.",tennis racket,baseball glove,,"a group of people are gathered around a court, some holding tennis rackets and others with baseball gloves, ready to start a game."
"In one sentence, Describe a scene about persons and chair and horse.",chair,horse,,"a group of people are gathered around a horse, each of them seated in a chair."
"In one sentence, Describe a scene about persons and tie and pizza.",tie,pizza,,"a group of friends gathered around a table, laughing and talking as they enjoy slices of pizza while playing a game of tie."
"In one sentence, Describe a scene about persons and wine glass and car.",wine glass,car,,"a group of people are gathered around a car, each holding a wine glass and laughing."
"In one sentence, Describe a scene about persons and broccoli and tv.",broccoli,tv,,"a group of people are sitting around a living room, watching tv while eating broccoli."
"In one sentence, Describe a scene about persons and fork and parking meter.",fork,parking meter,,"a group of people are standing around a parking meter, each holding a fork and discussing the merits of the meal they just ate."
"In one sentence, Describe a scene about persons and cell phone and teddy bear.",cell phone,teddy bear,,a group of people are sitting in a circle talking on their cell phones while cuddling with their teddy bears.
"In one sentence, Describe a scene about persons and bus and cow.",bus,cow,,"a group of people are standing around a bus, watching a cow grazing in the nearby field."
"In one sentence, Describe a scene about persons and umbrella and book.",umbrella,book,,"a group of people huddled under a single umbrella, each one reading a book in the rain."
"In one sentence, Describe a scene about persons and parking meter and bicycle.",parking meter,bicycle,,"a group of people are gathered around a parking meter, discussing whether or not to put money in it to park their bicycles."
"In one sentence, Describe a scene about persons and sports ball and bottle.",sports ball,bottle,,"a group of people are playing a lively game of soccer, kicking a ball around and passing a bottle of water between them."
"In one sentence, Describe a scene about persons and hot dog and knife.",hot dog,knife,,"a group of people gathered around a picnic table, each with a hot dog in one hand and a knife in the other, eagerly awaiting their turn to take a bite."
"In one sentence, Describe a scene about persons and bird and sports ball.",bird,sports ball,,"a group of people are playing a game of catch with a sports ball, while a bird chirps and flies around them."
"In one sentence, Describe a scene about persons and cup and snowboard.",cup,snowboard,,"a group of people enjoying a winter day, playing in the snow with their cups and snowboards."
"In one sentence, Describe a scene about persons and tv and dog.",tv,dog,,"a family is gathered around the television, laughing and petting their dog as they watch their favorite show."
"In one sentence, Describe a scene about persons and dog and kite.",dog,kite,,"a group of people are running around in a park, laughing and playing with a dog, while a colorful kite is soaring in the sky above them."
"In one sentence, Describe a scene about persons and fire hydrant and orange.",fire hydrant,orange,,"a group of people are gathered around a fire hydrant, each holding an orange and laughing."
"In one sentence, Describe a scene about persons and person and tv.",person,tv,,"three people are gathered around a television, watching a show together and laughing."
"In one sentence, Describe a scene about persons and sports ball and clock.",sports ball,clock,,"a group of people playing a sport in a park on a sunny day, with a large clock in the background and a ball bouncing around them."
"In one sentence, Describe a scene about persons and fire hydrant and bed.",fire hydrant,bed,,"a group of people are gathered around a fire hydrant near a bed, discussing something intently."
"In one sentence, Describe a scene about persons and laptop and snowboard.",laptop,snowboard,,"three persons are sitting around a laptop, discussing plans for a snowboarding trip while snowflakes drift outside."
"In one sentence, Describe a scene about persons and hair drier and handbag.",hair drier,handbag,,a group of people are getting their hair styled with a hairdryer while carrying their handbags.
"In one sentence, Describe a scene about persons and tennis racket and sink.",tennis racket,sink,,"the scene is of two people playing tennis in a kitchen, with a racket in one hand and a sink full of dishes in the other."
"In one sentence, Describe a scene about persons and microwave and banana.",microwave,banana,,a group of people are gathered around a microwave watching a banana spin inside it.
"In one sentence, Describe a scene about persons and cell phone and keyboard.",cell phone,keyboard,,"a group of people are gathered around a desk, texting and typing on their phones and keyboards."
"In one sentence, Describe a scene about persons and clock and orange.",clock,orange,,"a group of people are gathered around a clock, each holding an orange in their hands."
"In one sentence, Describe a scene about persons and fork and spoon.",fork,spoon,,"a group of people are gathered around a table, each with a fork and spoon in their hands, ready to enjoy a meal."
"In one sentence, Describe a scene about persons and zebra and baseball bat.",zebra,baseball bat,,"a group of people stand in a circle around a zebra, each holding a baseball bat, ready to play a game."
"In one sentence, Describe a scene about persons and bottle and spoon.",bottle,spoon,,"a group of people are sitting around a table, each holding a bottle and spoon, chatting and laughing."
"In one sentence, Describe a scene about persons and backpack and tie.",backpack,tie,,"a group of people stand together, each wearing a backpack and a tie, ready to embark on a new adventure."
"In one sentence, Describe a scene about persons and stop sign and bicycle.",stop sign,bicycle,,"at a busy intersection, a group of people are waiting to cross the street, while a cyclist slows down to a stop in front of a red stop sign."
"In one sentence, Describe a scene about persons and parking meter and bicycle.",parking meter,bicycle,,"a group of people are gathered around a parking meter and bicycle, discussing the best way to use the meter."
"In one sentence, Describe a scene about persons and cup and apple.",cup,apple,,"a group of people are gathered around a table, each holding a cup in one hand and an apple in the other."
"In one sentence, Describe a scene about persons and sports ball and car.",sports ball,car,,a group of people playing a sport with a ball in a parking lot surrounded by cars.
"In one sentence, Describe a scene about persons and tv and fork.",tv,fork,,"a group of people gathered around a television, eating dinner with forks and laughing."
"In one sentence, Describe a scene about persons and cow and bottle.",cow,bottle,,"a group of people are standing in a field, watching a cow drink from a bottle held by one of them."
"In one sentence, Describe a scene about persons and vase and surfboard.",vase,surfboard,,"a group of people are gathered around a vase filled with flowers, while a surfboard leans against the wall in the background."
"In one sentence, Describe a scene about persons and donut and sports ball.",donut,sports ball,,"a group of friends are gathered around a table, eating donuts and laughing as they toss a sports ball back and forth."
"In one sentence, Describe a scene about persons and bed and couch.",bed,couch,,"a group of people are lounging around on a bed and couch, talking and laughing."
"In one sentence, Describe a scene about persons and giraffe and snowboard.",giraffe,snowboard,,"persons and a giraffe are snowboarding down a snowy hill together, having a great time."
"In one sentence, Describe a scene about persons and banana and dining table.",banana,dining table,,"at the dining table, three persons are eating bananas and laughing."
