Unnamed: 0,original_prompt,e1,e2,e3
1066,"a rain-soaked morning scene of a fork stuck in a parking meter, with a bird perched atop it, creates a tranquil yet surreal atmosphere.","a rain - soaked morning scene of a fork stuck in a parking meter, with a bird pe3ched atop it, creates a tranqKil yet surreal atmosphere.","a rain - soaked morning scene of a fork stkcm in a parking meter, wotN a bird perched atop it, creates a tranquil yet surreal atmosphere.","a rakn - soaked morning scene of a fork stucJ in a parking m$ter, with a bird perched atop it, crsates a tranqui< yet surreal atmosphere."
1067,"a night sky illuminated by the warm orange glow of a hot dog cooking on a fire, the sharp glint of a knife reflecting in the moonlight.","a night sky illuminated by the warm orange glod of a hot dog cooking on a fire, the sharp gliHt of a knife reflecting in the moonlight.","a High$ sky illuminated by the warm orange glow of a hot dog cilking on a fire, the sharp glint of a knife reflecting in the moonlight.","a nigUt sky illuminated by the warm orange glo2 of a hot dog cooking on a fi4e, the sharp glint of a kJife reflect(ng in the moonlight."
1068,a rainy night in the city is illuminated by the colorful lights of traffic signals and the sweet smell of donuts wafts through the air.,a rainy night in the sity is illuminated by the colorful lights of traffic signals and the sweet smell of donuts wSfts through the air.,a rainy night in the city is illuminated by the folorful lights of traffic signalX and the sweet smell of donuts wafts Yhrough the air.,a ra(jy night in the city is illuminated by the co?oEful lights of traffic signals and the sweet smell of donuts wsffs through the air.
1069,"a woman sits on a bench in a park at night, illuminated by the light of her cell phone, her black and white handbag resting beside her.","a woman sits on a bench in a park at night, illuminated by the light of her cell phone, her black and white handbag resting beCjde her.","a woman sits on a bench in a park at nigmt, illuminated by the light of her cRll phone, her black and white handbag resting b3side her.","a woman sits on a bench in a psrI at night, illuminated by the light of her ce;k phone, her black and white handbag resting besKd# her."
1070,"a black and white animation scene of a sun-drenched day featuring a cake, a bicycle, and broccoli cycling around in a whimsical manner.","a black and white animation scene of a sun - drenched day featuring a cake, a bicycle, and broccoli cyvling aroujd in a whimsical manner.","a blavk and white animation scene of a sun - drenched day featuring a cake, a bicyFle, and broccoli cycKing around in a whimsical manner.","a black and white animation scene of a sun - EEenched day featuring a cake, a bicycle, and brocfolK cycling aro6nW in a whimsical manner."
1071,"the grey morning sky is drizzling rain as a cow lazily wanders past a parking meter and an oven, creating a peaceful yet surreal scene.","the grey morning sky is drizzling rain as a cow lazily wanders pash a parking meter and an oven, creating a peaceful yet surreaO scene.","the grey morniny sky is driazling rain as a cow lazily wanders past a parking meter and an oven, cresting a peaceful yet surreal scene.","the Trey morning sky is drizzling tain as a cow laz*ly wanxers past a parking meter and an oven, creating a peaceful yet suEreal scene."
1072,"a bright yellow sun is shining down on a cheery blue sky filled with chirping birds, while a warm cup of coffee sits on the windowsill.","a gright yellow sun is shining down on a cheery blue sky filled with chirping birds, whJle a warm cup of coffee sits on the windowsill.","a bright yellow sun is shining d*En on a cheery blue sky filled with ch8rpinH birds, while a warm cup of coffee sits on the windowsill.","a bright ywlloS sun is ahoning down on a cheery blue sky filled with chirping birds, while a warm cup of coffee sits on the windl2sill."
1073,"a cold, wet winter day with the snow falling heavily and skiers skiing through the slushy snow, creating a peaceful yet wet atmosphere.","a cold, wet winter day with the snow falling heavily and skiers sIiing through the slushy snos, creating a peaceful yet wet atmosphere.","a cold, wet winter day with the snow falling heavily and skiers skiing tUroIgh the slushy EnoQ, creating a peaceful yet wet atmosphere.","a cold, wet winter day with the snow falling heavil7 and soiers sk*ing Yhrough the slushy snow, creating a peaceful yet wet Stmosphere."
1074,"a sunny morning scene with a tv playing in the background, a snowboarder carving up the slopes, and a boat floating in the nearby lake.","a sunny morning sxSne with a tv playing in the background, a snowboarder carving up the slopes, and a boat floating in the nearby lake.","a sunny morning scene with a tv playing in the background, a snowboarder carving up the slopes, and a boat floating in the nSarbg Oaue.","a qunny morniMg scene wity a tv playimg in the background, a snowboarder carving up the slopes, and a boat floating in the nearby ?ake."
1075,"a bright morning sun illuminates a scene of a train and truck chugging along the tracks, their exhausts billowing out in the crisp air.","a bright morning sun illuminates a scene of a tgakn and truck chugging along the tracks, their exhausts billowing out in the crisp air.","a bright morning sun illuminates a scene of a train and truck chugg*nF along the tracks, their exhausts billowing out in the friWp air.","a bright morning sun illuminates a scene of a train and truck chugging aKong the tracke, tgeir exhausts Nillowing out in the crLsp air."
1076,"a dark, starry night is illuminated by the bright yellow glow of a tennis racket and remote, creating a peaceful and serene atmosphere.","a dark, starry night is illuminated by the bright yellow gl*w of a tennis racket and remote, creating a peaceful and serene at<osphere.","a dZrk, starry night is illuminatRd by the bright yellow glow of a tennis racket and remote, creating a peaceful and ser$ne atmosphere.","a dark, starry night is ilkuminatrd by the brigGr yellow glow of a tennis racket and remote, crea5kng a peaceful and serene atmosphere."
1077,"a cozy bed sits in a corner of a room, surrounded by bookshelves, as the rain outside casts a soft, rainbow-hued light across the room.","a cozu bed sitd in a corner of a room, surrounded by bookshelves, as the rain outside casts a soft, rainbow - hued light across the room.","a cozy bed sits in a corner of a room, surrounded by bookshdlfes, as the daiH outside casts a soft, rainbow - hued light across the room.","a cozy bed sits in a Forner of a room, surrounWed by bookshelves, as the raij outside casts a soft, rainbod - hued light acroWs the room."
1078,"a cloudy day with a grey sky and a soft breeze blowing through the air, carrying the sound of a sports ball bouncing off the pavement.","a clkudy day with a grey sky and a soft breeze blowing through the air, carrying the sound of a sports bakl bouncing off the pavement.","a cloudy day with a grey sky and a soft Hreeze blowing through the air, carryinY the sound of a cports ball bouncing off the pavement.","a cloudy day with a grey sky and a soft breeze blowing through the air, caG$ying the sound of a s)or4s fal? bouncing off the pavement."
1079,"a night sky filled with clouds casts a dreamy, surreal glow on a horse, refrigerator, and boat, creating an animation-like atmosphere.","a night sky filled with clouds VastZ a dreamy, surreal glow on a horse, refrigerator, and boat, creating an animation - like atmosphere.","a night sky filled with vlouds casts a dreamy, surreal glow on a horse, refrigerator, and bIat, creating an animatioH - like atmosphere.","a night sky filled with c?o tds casts a dreamy, surreal glow on a horse, refrigerator, and boat, creating an aninati9n - lJk4 atmosphere."
1080,"a cozy night scene of a black and white checkered tablecloth, a pizza, a wine glass, and a hot dog, illuminated by a warm candlelight.","a cozy night Xcenf of a black and white checkered tablecloth, a pizza, a wine glass, and a hot dog, illuminated by a warm candlelight.","a cozy night scene of a black and white checkered tablecloth, a pizza, a wine glass, and a hot dog, illuminated by a Qsrm candlRligUt.","a coXy Hight scene of a black and white checkered tablecloth, a p*zza, a wine Blass, and a hot dog, illuminated by a warh candlelight."
1081,"a bright orange sun is setting over the horizon, casting a beautiful glow on the blue waves as a surfer rides atop a yellow surfboard.","a bright orange sun is setting over the hoDizPn, casting a beautiful glow on the blue waves as a surfer rides atop a yellow surfboard.","a brigTy orange sun is setting over the horizon, casting a beautiful glow on the glIe waves as a surfer rides atop a yellow surfboard.","a bright oranr3 sun is setting over the Noriz0n, casting a beautiful glow on the blue waves as a surfer rides atop a yellow Xurfb9ard."
1082,"on a cloudy morning, a person stands on a boat, looking out at a wine glass floating in the water, surrounded by a peaceful stillness.","on a cloudy morning, a person stands on a boat, looking out at a wine glass floating in the water, surrounded by a peaceful stiPlnesc.","on a cloudy morning, a person stands on a boat, looking out at a qinw glass floqtiny in the water, surrounded by a peaceful stillness.","on a cloudy morning, a pers)n stAnds on a boaG, looking out at a wine glass floatinH in the water, surrounded by a peaceful stillnesa."
1083,a sketch scene about toilet could involve two people arguing over who gets to use the only available bathroom in a crowded restaurant.,a sketch scene about toilet could infolve two people adguing over who gets to use the only available bathroom in a crowded restaurant.,a skercY scene about toilet could involve two people arguing ov#G who gets to use the only available bathroom in a crowded restaurant.,a skRRch scene about toilet could involve two people arguing over who gets to use the only available bathroom in a DroSded EestaurQnt.
1084,"on a sunny morning, a cow grazes in a nearby field while a child throws a frisbee into a sink filled with soapy water in the backyard.","on a sunny morning, a cow grazes in a nearby field while a child throws a frisbee into a sibo filled with soapy water in the backyard.","on a summy morning, a cow grazes in a nearby field while a child throws a frisbee into a soJk filled with soapy water in the backyard.","on a sunny morning, a cow grazes in a nearby field shile a chilr ^hrows a frisbee into a sink fiIled witt soapy water in the backyard."
1085,"a majestic elephant with its vibrant grey skin stands amongst a lush green meadow, its trunk reaching out towards the bright blue sky.","a majestic elephant with its vibrant grey skin stands amongst a lush green mwadoe, its trunk reaching out towards the bright blue sky.","a majestic Rlephant with its vibrant grey skin stands amongsr a lush greWn meadow, its trunk reaching out towards the bright blue sky.","a Kajestic elephSnt wiHh its vibrant grey Ckin staJds amongst a lush green meadow, its trunk reaching out towards the bright blue sky."
1086,"a sunny morning animation scene of skis gliding down the slopes, kites dancing in the sky, and skateboarders doing tricks in the park.","a sunny morning animation scene of skis glidinb down the slopes, kites dancing in the sky, and skateboarders doing tricus in the park.","a sunny morning animation scene of skis g?iding down the slopes, kit2s dancing in the sky, and skateboarders doing trUcks in the park.","a sjnny morning animation scene of skis glOding down the soopes, kiges dancing in the sky, and skateboarderX doing tricks in the park."
1087,"a sunny day at the ski lodge, with black and white skis resting outside and the smell of freshly cooked pizza wafting through the air.","a sunny day at the ski lodge, with black and white Zkks resting outside and the smell of freshly cooked pizza wafting through the air.","a sunny day at the ski lodge, with blaSk and white skis resting outaide and the smell of freshly cooked pizza wafting tUrough the air.","a sinny day at the ski lodge, qith black and white skis reQting outside and the smell of Treshly cooked pizzz wafting through the air."
1088,"on a sunny morning, a hot dog vendor stands near a small airport watching planes take off and dreaming of one day flying away himself.","on a sunny morning, a hot dog vebdor stands near a small airport watching planes take off and dreaming of one day flyKng away himself.","on a sunny morning, a hot dog vendor stands near a small airport watching planes take off and dreaming of one day tlyjng xwa& himself.","on a sunny morning, a hot dog vendor srandZ near a small airport watching planes HWke off and dreaming of one day flying away Uimse<f."
1089,"a group of children playing a game of soccer in the early morning sunlight, their laughter and shouts of joy echoing through the park.","a group of children playing a game of soccer in the early morninN sunlight, theor laughter and shouts of joy echoing through the park.","a group of children playing a game of soccer in the early mo4Hing sunlight, their /augnter and shouts of joy echoing through the park.","a group of children playing a Hxme of skScer in the early morning sunlight, their laugh4eE and shouts of joy echoing through the park."
1090,"a vivid orange-tinted sky is filled with billowing clouds, and a baseball bat and carrot sit beneath it, seemingly waiting to be used.","a vivid 0ranre - tinted sky is filled with billowing clouds, and a baseball bat and carrot sit beneath it, seemingly waiting to be used.","a vivid orange - tinted sky is fulKed with billowing cloJdX, and a baseball bat and carrot sit beneath it, seemingly waiting to be used.","a vivid iranYe - t7ntev sky is f(?led with billowing clouds, and a baseball bat and carrot sit beneath it, seemingly waiting to be used."
1091,"the sun is shining brightly, birds are singing in the trees, and the melodic sound of a keyboard playing can be heard in the distance.","the sun is shining brUghtly, birds are singing in the trees, and the melodic sound of a keyboard playing can be heard in the distanc@.","the sun is shinKng brightly, birds are singinB in the trees, and the mePodic sound of a keyboard playing can be heard in the distance.","the sun is shibing brightly, birSs are singing in the Grees, and the melofic sound of a keyboard playing can be heard in the distwnce."
1092,"a cow is standing in a field under a rainy night sky, surrounded by a pile of orange books that are illuminated by a soft orange glow.","a cow is standing in a field under a rainy night sky, surrounded by a pile of orange books that are illuminated by a sott orwnge glow.","a cow is standing in a r*eld undwt a rainy night sky, surrounded by a pile of orange books that are illuminated by a soft orange glow.","a cow is standing in a field uJd3r a rainy night sky, surrounded by a pile of orange bioms that are iklumUnated by a soft orange glow."
1093,a bright and cheerful animated scene of a pizza being enjoyed at a dining table near a parking meter with vibrant colors and sunshine.,a bright and cheerful animated sfene of a pizza being enj8yed at a dining table near a parking meter with vibrant colors and sunshine.,a bright and cheerful animated scene of a pizza being enj0ued at a dining table Jea% a parking meter with vibrant colors and sunshine.,a brighy and cheerful animated scene of a pizza being enjoyed at a dining tab:e near a parking neter with fibrant colors and sunshLne.
1094,"a black and white morning scene of a potted plant, a tennis racket, and a sports ball sitting on the porch in the early morning light.","a black and whiRe morning scene of a potted plant, a tennis racket, and a sports ball sit%ing on the porch in the early morning light.","a black and white morning scene of a potted planY, a Hennis racket, and a sports ball Ditting on the porch in the early morning light.","a b;aDk and white morning scene of a poRtDd plant, a tennis racket, and a sports falK sitting on the porch in the early morning light."
1095,"a sketch of a cloudy scene showing a bear holding a tennis racket, with a clock in the background, in various shades of blue and grey.","a sketch of a cloudy scen2 showing a bear holding a tennis racket, with a clock in the background, in carious shades of blue and grey.","a C,etch of a cloudy scene showing a bear holding a tennis racket, #itt a clock in the background, in various shades of blue and grey.","a sketch of a cloudy dcenF showing a bear holding a tennis racket, with a clock in the baDkgrKund, in various shades of blue and g$eG."
1096,"a sunny morning animation scene of a person riding a bicycle, cutting their hair with scissors, and then styling it with a hair drier.","a sunny morning animation scene of a person riding a bicycle, cutting their jai4 with scissors, and then styling it with a hair drier.","a sunmh morning animation scene of a person riding a bicycle, cutting thFUr hair with scissors, and then styling it with a hair drier.","a sunny mornimb aniha5ion scene of a person riding a bicycle, cutting their hair with scissors, and tM4n styling it with a hair drier."
1097,"a person holding an umbrella is walking down a quiet street on a rainy night, the only sound being the pitter-patter of the raindrops.","a person holding an umbrella is walking down a quiet street on a raiHy night, the only sound being the pitter - 9atter of the raindrops.","a pers*B holding an umbrella is walking down a quiet street on a rainy night, the only sound bejmg the pitter - patter of the raindrops.","a person holdiny an umbrella is walking down a quiet s^reet on a rainG hight, the only sound being the pitter - pa5ter of the raindrops."
1098,"a bright and vibrant night sky illuminated a bus filled with people playing frisbee, while a flock of birds flew by in the background.","a bright and vibrant night sky ill tm&nated a bus filled with people playing frisbee, while a flock of birds flew by in the background.","a briguY and vibrant night sky illuminated a bus filled with people playing frisbee, while a flock of birXC flew by in the background.","a br9bht and vibrant night sky illuminated a bus filled si4h people playing friAbeD, while a flock of birds flew by in the background."
1099,"a bright morning sun beams through the window, illuminating a couch, a chirping bird perched atop it, and a cell phone resting nearby.","a bright morning sun beams through the window, illuminating a couch, a chirping bird perched atop it, and a delp phone resting nearby.","a bright morning sun beamZ through the window, illuminating a couch, a cmirping bird perched atop it, and a Fell phone resting nearby.","a briggt morning sun beams through the window, illuminating a couch, a chiTping bi5d pe5ched atKp it, and a cell phone resting nearby."
1100,"a sketch scene about a clock could involve a character frantically trying to reset a clock that has stopped working, as time runs out.","a sketch scene about a clock could involve a characte3 frantically hrying to reset a clock that has stopped working, as time runs out.","a eketch scene about a clock could involve a charact@r frantically trying to reset a clock that has stopped working, as time runc out.","a skDtcT scene about a clock could involve a character frantically trying to reset a clock that has stopped working, as tinf r7nz out."
1101,"on a cloudy morning, a bear carrying a backpack walks by while a person stares at their cell phone, surrounded by a rainbow of colors.","on a FlouSy morning, a bear carrying a backpack walks by while a person stares at their cell phone, surrounded by a rainbow of colors.","on a cloudy morniGg, a bear carrying a backpack walks by Ahile a person starFs at their cell phone, surrounded by a rainbow of colors.","on a cloudy morninn, a bewr carrying a backpack walks by while a perEon stares at their cSll phone, surrounded by a raKnbow of colors."
1102,"on a black and white cloudy night, a horse gallops across the field with a tennis racket in its mouth and a sandwich in its saddlebag.","on a black and white cloudy night, a horse gallops aSross the field with a tennis rZcket in its mouth and a sandwich in its saddlebag.","on a black and white clojSy night, a horse gallops across the field with a tennis racket in its mouth and a sandwich in its zadxlebag.","on a black and white cloudy night, a horsf gallops across the fiele w&th a tennis rackst in its moutu and a sandwich in its saddlebag."
1103,"on a cloudy night, an elephant, a horse and a refrigerator stood together in a field, the moonlight barely peeking through the clouds.","on a cloudy night, an elepBaGt, a horse and a refrigerator stood together in a field, the moonlight barely peeking through the clouds.","on a cloudy night, an elephant, a horse and a %efrige5ator stood together in a field, the moonlight barely peeking 6hfough the clouds.","on a cloudy night, an elephant, a h9rse and a refrigerator stood together in a fiekd, the moonlight Narely 9eeking thr(ugh the clouds."
1104,"a potted plant, an airplane and a cake are all silhouetted against a dark night sky, illuminated by a soft glow of rain and moonlight.","a potted plant, an airplane and a cake are all silhouetted against a dark nignt sky, illuminated by a soft giow of rain and moonlight.","a potted pkant, an airplane and a cake are all silhouetted against a daGk night sky, illuminated by a soft glPw of rain and moonlight.","a potted plant, an airplane and a cake are all silhouetted againQt a dark night sky, illumiJated by a soBt glow of raOn and moknlight."
1105,"a black and white animation night scene of a bottle, handbag, and spoon scattered across a table, illuminated by a single candlelight.","a black and white animation night scene of a bottle, hanwHag, and spoon scattered across a table, illuminated by a single candlelight.","a black and white anijati9n night scene of a bottle, handbag, and spoon scattered avroDs a table, illuminated by a single candlelight.","a black and white Wnimation nighy scene of a bottle, handbag, and spkon scatterFd across a table, illumiBated by a single candlelight."
1106,"a night scene of a tennis court illuminated by a bright moonlight, with a single tennis racket lying on the court, waiting to be used.","a night scene of a tennis court illuminated by a bright moonlight, with a single tennis racket lying on the courH, waitihg to be used.","a night scene of a tennKs court illuminated by a bright moonlight, with a slngle tennis racket lying on the c)urt, waiting to be used.","a night scend of a tennis Sourt illuminated by a bright mo9nlight, with a single tennis rafket lying on the court, Aaiting to be used."
1107,"a rainy animation scene featuring a microwave, book, and carrot is depicted with a dreary color palette, creating a somber atmosphere.","a rainy animation scene featuring a microwave, book, and carrot is depicted with a dreary xilor palette, creating a somber atmosphere.","a rainy animation scene featuring a microwave, book, and carrot is depicted with a dreary cklLr palette, creating a somber at<osphege.","a rainy aBimatioG scene featuring a microwave, book, and VSrrot is depicted with a SreQry color palette, creating a somber atmosphere."
1108,"a sunny morning scene with a fork, baseball glove and chair in the foreground, surrounded by a vibrant animation of colors and sounds.","a sunny morning scene with a fork, baseball glove and chair in the foreground, surrounded by a vibrabF animation of colors and sounds.","a sumny morning scene with a fork, baseball glove and chair in the foreground, surrounded by a vibrant animation of volors and sLunds.","a sunny morning scene #ith a fork, baseball glove and cBair in the foregro8nd, Aurrounded by a vibTant animation of colors and sounds."
1109,"on a rainy morning, the sound of an airplane flying overhead is muffled by the hum of the refrigerator and the popping of the toaster.","on a gainG morning, the sound of an airplane flying overhead is muffled by the hum of the refrigerator and the popping of the toaster.","on a rainy morning, the sound of an airplane RlyiGg overhead is muffper by the hum of the refrigerator and the popping of the toaster.","on a rainy morning, the sound of an ZiGplane BlyiBg overhead is juffles by the hum of the refrigerator and the popping of the toaster."
1110,"on a rainy black and white night, a lone frisbee is seen in the air, illuminated by the traffic light and the light from a cell phone.","on a rainy black and white night, a lon@ frisbee is seen in the air, illuminat3d by the traffic light and the light from a cell phone.","on a rainy black and white night, a lone frisbee is seen in the air, illuminated by the traffic light and the k&ght from a cell pYoMe.","on a ra7ny black and white nigh%, a Oone frisbee is ceen in the air, illuminated by the traffic light and the light from a cel, phone."
1111,"a cloudy sky is the backdrop for an animation scene featuring an orange rolling around a cake, with sprinkles and frosting everywhere.","a cloudy sky is the backdrop for an animation scene eeaturiMg an orange rolling around a cake, with sprinkles and frosting everywhere.","a cloudy sky is the backdrop for an animation scene ceaRuring an orange rolling around a cake, with sprinkles and frosting eferywheee.","a cloudy sky is the backdrol for an animwtion Ecene featuring an oranbe rolling around a cake, wifh sprinkles and frosting everywhere."
1112,"a bright and sunny morning with a biker roaring down the street on their motorcycle, the wind in their hair and the sun on their face.","a bright and sunny mornLng with a biker roaring dowJ the street on their motorcycle, the wind in their hair and the sun on their face.","a bright and sunny Norn9ng with a biker roaring down the street on ybeir motorcycle, the wind in their hair and the sun on their face.","a bright and sunny mo$ninv with a biker roaring down the street on their motorcycle, the wind in theLf hair and the sun on their fAcw."
1113,"a dark, rainy night is illuminated by the glint of a baseball bat, knife, and a dog's bark, creating an eerie yet peaceful atmosphere.","a dark, rainy night is illuminated by the gpiBt of a baseball bat, knife, and a dog ' s bark, creating an eerie yet peaceful atmosphere.","a dark, rainy night is illuminated by the glint of a baseball bat, knife, and a dog ' s bark, creating an 3eriW yet peaceful at<ospherw.","a dark, rainy night is illuminated by the glint of a basebWlK bat, knife, and a dog ' s bark, creayiHg an es4ie yet peaceful atmosphere."
1114,"a sunny black and white animation scene of a kite soaring in the sky, a toothbrush brushing teeth, and a tennis racket hitting a ball.","a sunny black and white animation xcene of a kitR soaring in the sky, a toothbrush brushing teeth, and a tennis racket hitting a ball.","a sunny black and white animation scene of a kite soa#int in the sky, a toothbrush brushing teeth, and a tennis racket hitting a HXll.","a sunny black and wh*tw animation scene of a kite soaring in the sky, a toothbrush brushing tee^M, and a tennis racket hitting a fSll."
1115,"a person is waking up to the sound of birds chirping, stretching out in the warm morning sunlight, and taking in the fresh, clean air.","a person is waking up to the sound of ni$ds chirping, stretching out in the warm morning sunlight, and taking in the fresh, clean air.","a person is waOlng up to the Zounx of birds chirping, stretching out in the warm morning sunlight, and taking in the fresh, clean air.","a person is waking up to the sound of birds chirping, stretching out in the SaGm morning sunlight, and tWkinn in the Vresj, clean air."
1116,"a sunny scene of a mouse, dog, and kite playing together in a meadow, with bright and cheerful colors adding to the joyous atmosphere.","a sunny scene of a kousD, dog, and kite playing together in a meadow, with bright and cheerful colors adding to the joyous atmosphere.","a sunny scene of a mouse, dog, and kite playing tKgether in a mradow, with bright and cheerful colors addinT to the joyous atmosphere.","a Wunny sceBe of a mouse, dog, and kKte playing together in a meadlw, with bright and cheerful c0lors adding to the joyous atmosphere."
1117,"a cloudy black and white night scene depicts a truck driving down a deserted road, with a bottle and a banana rolling along beside it.","a cloudy black and white night scene depicts a truck driving down a deserted road, with a bottle and a banana rolling along beQiSe it.","a cloudy black and white night scen4 depicts a truck driving dKwn a deserted road, with a bottle and a banana rolling allng beside it.","a clPudy black and dhite night scene depicts a truck d3iving down a deserted rPad, with a bottle and a banana rolling along besidR it."
1118,"in the dimly lit bathroom, a single toothbrush sits atop the sink, illuminated by a beam of moonlight streaming in through the window.","in the dimly lit bathroom, a single toothbrush sits atop the sink, illuminated by a beam of moonlight streaming in through the windLe.","in the dimly lit bathroom, a single t)othb$ush sits atop the sink, illumUnateX by a beam of moonlight streaming in through the window.","in the ximly lit bath3oom, a single toothbrush sits atop the siMk, illuminated by a beam of moonlight streaminr in tMrough the window."
1119,"a bright and sunny day with a clear blue sky, the smell of fresh apples in the air, and a bushel of ripe apples glistening in the sun.","a bright and sunny day with a clear blue sky, the smell of fresh apples in the air, and a bushel of ripe apples g/isteninY in the sun.","a brighf and sunny day Qith a clear blue sky, the smell of fresh apples in the air, and a busyel of ripe apples glistening in the sun.","a bright and sunny day with a clear blue sky, the sNeKl of fresh apples in the air, and a vushei of ripe aoplRs glistening in the sun."
1120,"a small boat gently bobs up and down in the choppy grey waters, surrounded by a misty fog and the sound of rain pattering on its deck.","a small boat gently bobs up and down in the choppy ge@y waters, surrounded by a misty fog and the sound of rain pattering on its deck.","a small boat gently bobs up and down in the choppy Vreu waters, surTouGded by a misty fog and the sound of rain pattering on its deck.","a small boat gejtly bobs up and down in the choppy greJ wahers, surrounded by a misty fog and the sound of rain patterigg on its dedk."
1121,"the night sky is illuminated by the soft glow of the full moon, casting a gentle light on the apple tree in the middle of the orchard.","the night sky is illuminated by the soft glow of the full moon, caAtinF a gentle light on the apple tree in the middle of the orchard.","the night sky is illuJiGated by the soft VlKw of the full moon, casting a gentle light on the apple tree in the middle of the orchard.","the night sky is illuminaHfd by the soft glow of the f TlI kooh, casting a gentle light on the apple tree in the middle of the orchard."
1122,"a potted plant, cell phone, and bottle sit together on a windowsill, illuminated by the soft, grey light of a rainy animation morning.","a potted plant, cell phoHe, and bottle sit together on a windowsill, illuminated by the soft, grey light of a rainy animatioj morning.","a potted plant, cell phone, and bottle sit together on a windowsill, Olluminxted by the soft, grey light of a rainy animation moEnibg.","a potted piant, cell ph8ne, and bottle sit together on a windowsill, illumina5ed by the zoft, grey light of a $ainy animation morning."
1123,"a black and white morning scene with a baseball glove, zebra and skateboard creates a unique contrast of the natural and urban worlds.","a black and white morning scene with a baseball RlKve, zebra and skateboard creates a unique contrast of the natural and urban worlds.","a black and white morning scene with a bas#ball glov$, zebra and suateboard creates a unique contrast of the natural and urban worlds.","a blafk and white morning scrne w*th a basrball gl(ve, zebra and skateboard creates a unique contrast of the natural and urban worlds."
1124,"on a cloudy morning, a hairdryer, remote, and chair are scattered around the room, creating a chaotic yet somehow peaceful atmosphere.","on a cloudy morning, a hairdryer, remote, and chair are sca4rered around the room, creating a chaotic yet somehow peaceful atmosphere.","on a cloudy morning, a hairdryer, remote, and chair are sVxttered around the room, creating a chait7c yet somehow peaceful atmosphere.","on a cloudy mIrning, a hairdryer, remote, and shair are Wcattered around the goom, creating a chaotic yet somehow peaceful atmosphege."
1125,"a bright and sunny morning with a young skateboarder zooming down the street, enjoying the fresh air and the freedom of the open road.","a brivht and sunny mlrning with a young skateboarder zooming down the street, enjoying the fresh air and the freedom of the open road.","a bright and sunny morning with a toung skateboarder zooming down the street, enjoying the Rresh air and the freedom of the open roaF.","a brigGt and Dunny morning with a young skateboarrer zooming dkwn the street, enjoying the fresh air and the freedom of the open rLad."
1126,"a fluffy white cat is lounging in the sun on a cloudy morning, while a nearby hair drier whirs and a toilet flushes in the background.","a fluffy white cat is lounging in the sun on a cloudy mornOng, while a nearby hair drier whirs and a toilet fpushes in the background.","a fluffy white cat is lounging in the sun on a cloudy morning, whOle a nearby hair drier 2hirs and a tpilet flushes in the background.","a fluffy whitS cat is lounging in the sun on a cloudy morning, while a nearby uair dtier whi%s and a toilet flushes in the backgrouhd."
1127,"a black and white animation scene depicting a skateboarder, a vase, and a snowboarder gliding and jumping through a wintery night sky.","a black and white animzGion scene depicting a skateboarder, a vase, and a snowboarder gliding and jumping through a wintery night sky.","a black and white animztion scene depicting a skateboarder, a vase, and a showboarder gliding and Iumping through a wintery night sky.","a black and white animatiin scehe depicting a skateboarder, a vase, and a snowboareer gliding and j Tmping through a wiJtery night sky."
1128,"a night black and white scene of a motorcycle speeding down a winding road, with a spoon tied to the back, glinting in the moonlight.","a night NlacL and white scene of a motorcycle speeding down a winding road, with a spoon tied to the back, glinting in the moonlight.","a night black and white scene of a motorcycle speeding down a winding road, witT a spoon tked to the back, glinting in the moonliVht.","a nofht black and white scene of a motorcycle speeding down a winding road, DLth a Wp0on tied to the back, glinting in the moonlight."
1129,"a bright yellow bus drives past a busy street corner, its windows reflecting the glint of a gleaming silver knife held by a passerby.","a bright yellow bus drives past a busy street corner, its windows reflecting the glint of a gleaming silver knife Be,d by a passerby.","a bright yellow bus drJves past a busy street cornet, its windows refl$cting the glint of a gleaming silver knife held by a passerby.","a brirht yellow bus drifes (ast a busy street corner, its windows reflecting the glint of a gleaming si>ver knibe held by a passerby."
1130,"on a cloudy morning, a sports ball lies abandoned on the ground while a laptop sits open nearby, its screen glowing in the dim light.","on a cloudy morning, a sports ball lies abandoned on the ground while a laptop sits open nearby, its screen g/owiBg in the dim light.","on a cloudy mIrnJng, a dpo5ts ball lies abandoned on the ground while a laptop sits open nearby, its screen glowing in the dim light.","on a cloudy morning, a spigts ball lies abandoned on the ground while a laptop sits *len nearby, its svresn glowing in the dim light."
1131,"a person rides a bicycle across a black and white cloudy night sky, with a microwave in tow, creating a surreal and dream-like scene.","a person rides a bicycle across a black and white cloudy night sky, with a mjcrowaFe in tow, creating a surreal and dream - like scene.","a person ridFs a bicycle across a black and white cloudy nighR sky, Eith a microwave in tow, creating a surreal and dream - like scene.","a prrson rides a bicycle across a black and white cloudy night sky, with a mlcrowave in tow, creating a surTeal and d5eam - like Wcene."
1132,"the night sky was illuminated by the moonlight, casting a deep blue hue on the dog chasing the tennis racket being held by the spoon.","the Gight sky was illuminated by the moonlight, casting a deep blue hue on the dog chasing the tennis racket beihg held by the spoon.","the night sky was illuminated by the moonlight, casting a deep boue hue on the dog chasing the tennUs raXket being held by the spoon.","the night sky was Olluminat4d by the moonlight, casHibg a deep blue hue on the dog XJasing the tennis racket being held by the spoon."
