meta_prompt,obj1,obj2,obj3,synthetic_prompt
"In one sentence, Describe a scene about snowboard, apple and toilet.",snowboard,apple,toilet,a snowboarder is eating an apple while sitting on a toilet in the middle of a snowy mountain.
"In one sentence, Describe a scene about bicycle, carrot and dining table.",bicycle,carrot,dining table,a bicycle is parked next to a dining table covered with a basket of carrots.
"In one sentence, Describe a scene about frisbee, donut and baseball bat.",frisbee,donut,baseball bat,a group of friends are playing frisbee in the park while enjoying donuts and batting a baseball bat around.
"In one sentence, Describe a scene about teddy bear, person and oven.",teddy bear,person,oven,a person is cuddling a teddy bear while baking a cake in an oven.
"In one sentence, Describe a scene about elephant, bottle and hair drier.",elephant,bottle,hair drier,"an elephant is standing in a bathroom, holding a bottle of shampoo in its trunk while a hair drier is blowing warm air onto its back."
"In one sentence, Describe a scene about zebra, teddy bear and laptop.",zebra,teddy bear,laptop,"a zebra is sitting on a teddy bear with a laptop in front of them, looking intently at the screen."
"In one sentence, Describe a scene about handbag, sports ball and tv.",handbag,sports ball,tv,"a woman is sitting on the couch watching tv, with a handbag next to her and a sports ball at her feet."
"In one sentence, Describe a scene about tv, traffic light and clock.",tv,traffic light,clock,"a busy street corner with a traffic light changing colors, a clock ticking, and a tv playing in the background."
"In one sentence, Describe a scene about bed, fork and sink.",bed,fork,sink,"a bedroom with a bed in the corner, a fork on the bedside table, and a sink in the opposite corner."
"In one sentence, Describe a scene about banana, traffic light and kite.",banana,traffic light,kite,"a child is standing on the sidewalk, eating a banana while watching a kite soar in the sky and waiting for the traffic light to turn green."
"In one sentence, Describe a scene about bowl, elephant and car.",bowl,elephant,car,an elephant is balancing a bowl on its trunk while a car drives by in the background.
